data_size(MB),time(ms)
12,2.105
8,1.412
16,3.091
24,4.170
32,5.762
256,44.160
272,46.683
384,65.895
40,10.163
400,100.904
20,3.488
128,21.992
140,24.035
192,33.012
4,0.734
200,50.536
144,24.789
28,7.124
6,1.080
14,2.453
64,11.014
74,12.734
96,16.528
2,0.390
10,1.769
100,25.378
80,13.757
22,5.648
48,8.278
512,87.822
544,93.445
768,131.763
800,201.787
280,48.064
288,49.465
56,14.179
148,25.416
160,27.473
44,11.199
1024,175.540
1088,186.494
1536,263.208
1600,403.435
560,95.978
576,98.781
112,28.297
296,50.767
320,54.914
88,22.234
2048,350.970
2176,1000000000.000
3072,1000000000.000
3200,1000000000.000
1120,191.892
1152,197.416
224,56.508
592,101.532
640,109.691
176,44.473
