op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,1890.051,2614.504,4.594,122.500,0.179,122.500,249.500,0.000
bn1,518.656,864.142,122.500,122.500,0.002,122.503,1.497,248.000
relu1,329.220,459.939,122.500,122.500,0.000,122.500,1.500,248.000
maxpool,294.721,1275.796,122.500,30.625,0.000,92.625,1.375,156.000
block-0-0-conv1,514.525,1788.050,30.625,61.250,0.391,30.625,1.375,160.000
block-0-0-bn1,134.963,220.799,61.250,61.250,0.002,30.628,1.372,64.000
block-0-0-conv2,4236.019,6848.103,61.250,91.875,7.031,62.000,0.000,330.000
block-0-0-bn2,251.013,404.364,91.875,91.875,0.005,62.005,0.000,124.000
block-0-0-conv3,3301.740,7860.327,91.875,153.125,3.125,122.500,1.500,314.000
block-0-0-bn3,489.503,812.840,153.125,153.125,0.010,122.510,1.490,248.000
block-0-0-downsample,2505.636,5215.323,153.125,122.500,1.562,245.010,126.990,190.000
block-0-0-relu,328.958,460.678,122.500,122.500,0.000,122.500,1.500,248.000
block-0-1-conv1,1963.270,5351.543,122.500,153.125,1.562,30.625,1.375,530.000
block-0-1-bn1,134.963,220.799,153.125,153.125,0.002,30.628,1.372,64.000
block-0-1-conv2,4236.019,6848.103,153.125,183.750,7.031,62.000,0.000,330.000
block-0-1-bn2,251.013,404.364,183.750,183.750,0.005,62.005,0.000,124.000
block-0-1-conv3,3301.740,7860.327,183.750,245.000,3.125,122.500,1.500,314.000
block-0-1-bn3,489.503,812.840,245.000,245.000,0.010,122.510,1.490,248.000
block-0-1-downsample,463.641,42.385,245.000,122.500,0.000,122.500,1.500,124.000
block-0-1-relu,328.958,460.678,122.500,122.500,0.000,122.500,1.500,248.000
block-0-2-conv1,1963.270,5351.543,122.500,153.125,1.562,30.625,1.375,530.000
block-0-2-bn1,134.963,220.799,153.125,153.125,0.002,30.628,1.372,64.000
block-0-2-conv2,4236.019,6848.103,153.125,183.750,7.031,62.000,0.000,330.000
block-0-2-bn2,251.013,404.364,183.750,183.750,0.005,62.005,0.000,124.000
block-0-2-conv3,3301.740,7860.327,183.750,245.000,3.125,122.500,1.500,314.000
block-0-2-bn3,489.503,812.840,245.000,245.000,0.010,122.510,1.490,248.000
block-0-2-downsample,463.641,42.385,245.000,122.500,0.000,122.500,1.500,124.000
block-0-2-relu,328.958,460.678,122.500,122.500,0.000,122.500,1.500,248.000
block-1-0-conv1,3415.716,8333.635,122.500,183.750,3.125,61.250,0.000,560.000
block-1-0-bn1,251.013,404.364,183.750,183.750,0.005,62.005,0.000,124.000
block-1-0-conv2,7954.460,17024.893,183.750,153.125,28.125,30.625,29.375,216.000
block-1-0-bn2,99.093,193.417,153.125,153.125,0.010,30.635,1.365,64.000
block-1-0-conv3,3348.011,7239.592,153.125,183.750,12.500,62.000,0.000,238.000
block-1-0-bn3,187.743,375.664,183.750,183.750,0.020,62.020,0.000,124.000
block-1-0-downsample,3840.041,9667.671,183.750,61.250,12.500,124.020,61.980,448.000
block-1-0-relu,158.805,231.224,61.250,61.250,0.000,62.000,0.000,124.000
block-1-1-conv1,1758.677,4019.415,61.250,76.562,6.250,16.000,0.000,314.000
block-1-1-bn1,54.044,144.011,76.562,76.562,0.005,16.005,0.000,32.000
block-1-1-conv2,4890.400,7242.364,76.562,91.875,28.125,30.625,81.375,296.000
block-1-1-bn2,99.093,193.417,91.875,91.875,0.010,30.635,1.365,64.000
block-1-1-conv3,3348.011,7239.592,91.875,122.500,12.500,62.000,0.000,238.000
block-1-1-bn3,187.743,375.664,122.500,122.500,0.020,62.020,0.000,124.000
block-1-1-downsample,230.384,33.432,122.500,61.250,0.000,62.000,0.000,62.000
block-1-1-relu,158.805,231.224,61.250,61.250,0.000,62.000,0.000,124.000
block-1-2-conv1,1758.677,4019.415,61.250,76.562,6.250,16.000,0.000,314.000
block-1-2-bn1,54.044,144.011,76.562,76.562,0.005,16.005,0.000,32.000
block-1-2-conv2,4890.400,7242.364,76.562,91.875,28.125,30.625,81.375,296.000
block-1-2-bn2,99.093,193.417,91.875,91.875,0.010,30.635,1.365,64.000
block-1-2-conv3,3348.011,7239.592,91.875,122.500,12.500,62.000,0.000,238.000
block-1-2-bn3,187.743,375.664,122.500,122.500,0.020,62.020,0.000,124.000
block-1-2-downsample,230.384,33.432,122.500,61.250,0.000,62.000,0.000,62.000
block-1-2-relu,158.805,231.224,61.250,61.250,0.000,62.000,0.000,124.000
block-1-3-conv1,1758.677,4019.415,61.250,76.562,6.250,16.000,0.000,314.000
block-1-3-bn1,54.044,144.011,76.562,76.562,0.005,16.005,0.000,32.000
block-1-3-conv2,4890.400,7242.364,76.562,91.875,28.125,30.625,81.375,296.000
block-1-3-bn2,99.093,193.417,91.875,91.875,0.010,30.635,1.365,64.000
block-1-3-conv3,3348.011,7239.592,91.875,122.500,12.500,62.000,0.000,238.000
block-1-3-bn3,187.743,375.664,122.500,122.500,0.020,62.020,0.000,124.000
block-1-3-downsample,230.384,33.432,122.500,61.250,0.000,62.000,0.000,62.000
block-1-3-relu,158.805,231.224,61.250,61.250,0.000,62.000,0.000,124.000
block-2-0-conv1,3532.344,7337.832,61.250,91.875,12.500,30.625,0.000,330.000
block-2-0-bn1,99.093,193.417,91.875,91.875,0.010,30.635,1.365,64.000
block-2-0-conv2,7932.884,20132.965,91.875,76.562,112.500,16.000,272.000,0.000
block-2-0-bn2,69.529,169.277,76.562,76.562,0.020,16.020,0.000,32.000
block-2-0-conv3,4036.909,8469.868,76.562,91.875,50.000,30.625,21.375,466.000
block-2-0-bn3,125.557,178.212,91.875,91.875,0.039,30.664,1.336,64.000
block-2-0-downsample,4387.981,10367.250,91.875,30.625,50.000,61.289,52.711,320.000
block-2-0-relu,81.581,118.381,30.625,30.625,0.000,30.625,1.375,64.000
block-2-1-conv1,2039.152,4307.121,30.625,38.281,25.000,7.656,38.344,320.000
block-2-1-bn1,45.639,145.471,38.281,38.281,0.010,7.666,0.000,20.000
block-2-1-conv2,5193.233,8484.381,38.281,45.938,112.500,15.312,298.688,518.000
block-2-1-bn2,69.529,169.277,45.938,45.938,0.020,16.020,0.000,32.000
block-2-1-conv3,4036.909,8469.868,45.938,61.250,50.000,30.625,21.375,466.000
block-2-1-bn3,125.557,178.212,61.250,61.250,0.039,30.664,1.336,64.000
block-2-1-downsample,127.268,40.680,61.250,30.625,0.000,30.625,1.375,32.000
block-2-1-relu,81.581,118.381,30.625,30.625,0.000,30.625,1.375,64.000
block-2-2-conv1,2039.152,4307.121,30.625,38.281,25.000,7.656,38.344,320.000
block-2-2-bn1,45.639,145.471,38.281,38.281,0.010,7.666,0.000,20.000
block-2-2-conv2,5193.233,8484.381,38.281,45.938,112.500,15.312,298.688,518.000
block-2-2-bn2,69.529,169.277,45.938,45.938,0.020,16.020,0.000,32.000
block-2-2-conv3,4036.909,8469.868,45.938,61.250,50.000,30.625,21.375,466.000
block-2-2-bn3,125.557,178.212,61.250,61.250,0.039,30.664,1.336,64.000
block-2-2-downsample,127.268,40.680,61.250,30.625,0.000,30.625,1.375,32.000
block-2-2-relu,81.581,118.381,30.625,30.625,0.000,30.625,1.375,64.000
block-2-3-conv1,2039.152,4307.121,30.625,38.281,25.000,7.656,38.344,320.000
block-2-3-bn1,45.639,145.471,38.281,38.281,0.010,7.666,0.000,20.000
block-2-3-conv2,5193.233,8484.381,38.281,45.938,112.500,15.312,298.688,518.000
block-2-3-bn2,69.529,169.277,45.938,45.938,0.020,16.020,0.000,32.000
block-2-3-conv3,4036.909,8469.868,45.938,61.250,50.000,30.625,21.375,466.000
block-2-3-bn3,125.557,178.212,61.250,61.250,0.039,30.664,1.336,64.000
block-2-3-downsample,127.268,40.680,61.250,30.625,0.000,30.625,1.375,32.000
block-2-3-relu,81.581,118.381,30.625,30.625,0.000,30.625,1.375,64.000
block-2-4-conv1,2039.152,4307.121,30.625,38.281,25.000,7.656,38.344,320.000
block-2-4-bn1,45.639,145.471,38.281,38.281,0.010,7.666,0.000,20.000
block-2-4-conv2,5193.233,8484.381,38.281,45.938,112.500,15.312,298.688,518.000
block-2-4-bn2,69.529,169.277,45.938,45.938,0.020,16.020,0.000,32.000
block-2-4-conv3,4036.909,8469.868,45.938,61.250,50.000,30.625,21.375,466.000
block-2-4-bn3,125.557,178.212,61.250,61.250,0.039,30.664,1.336,64.000
block-2-4-downsample,127.268,40.680,61.250,30.625,0.000,30.625,1.375,32.000
block-2-4-relu,81.581,118.381,30.625,30.625,0.000,30.625,1.375,64.000
block-2-5-conv1,2039.152,4307.121,30.625,38.281,25.000,7.656,38.344,320.000
block-2-5-bn1,45.639,145.471,38.281,38.281,0.010,7.666,0.000,20.000
block-2-5-conv2,5193.233,8484.381,38.281,45.938,112.500,15.312,298.688,518.000
block-2-5-bn2,69.529,169.277,45.938,45.938,0.020,16.020,0.000,32.000
block-2-5-conv3,4036.909,8469.868,45.938,61.250,50.000,30.625,21.375,466.000
block-2-5-bn3,125.557,178.212,61.250,61.250,0.039,30.664,1.336,64.000
block-2-5-downsample,127.268,40.680,61.250,30.625,0.000,30.625,1.375,32.000
block-2-5-relu,81.581,118.381,30.625,30.625,0.000,30.625,1.375,64.000
block-3-0-conv1,4053.414,8305.436,30.625,45.938,50.000,16.000,52.000,514.000
block-3-0-bn1,69.529,169.277,45.938,45.938,0.020,16.020,0.000,32.000
block-3-0-conv2,10320.622,29765.511,45.938,38.281,450.000,7.656,936.344,0.000
block-3-0-bn2,80.043,174.004,38.281,38.281,0.039,7.695,0.000,20.000
block-3-0-conv3,3955.936,9445.006,38.281,45.938,200.000,15.312,0.000,208.000
block-3-0-bn3,152.415,181.073,45.938,45.938,0.078,16.078,0.000,32.000
block-3-0-downsample,4061.633,10412.198,45.938,15.312,200.000,31.391,186.609,402.000
block-3-0-relu,46.247,60.952,15.312,15.312,0.000,16.000,0.000,32.000
block-3-1-conv1,2011.025,4518.294,15.312,19.141,100.000,3.828,98.172,116.000
block-3-1-bn1,45.240,141.013,19.141,19.141,0.020,3.848,0.000,0.000
block-3-1-conv2,12712.222,14538.914,19.141,22.969,450.000,7.656,1860.344,1868.000
block-3-1-bn2,80.043,174.004,22.969,22.969,0.039,7.695,0.000,20.000
block-3-1-conv3,3955.936,9445.006,22.969,30.625,200.000,15.312,0.000,208.000
block-3-1-bn3,152.415,181.073,30.625,30.625,0.078,16.078,0.000,32.000
block-3-1-downsample,65.374,32.973,30.625,15.312,0.000,16.000,0.000,16.000
block-3-1-relu,46.247,60.952,15.312,15.312,0.000,16.000,0.000,32.000
block-3-2-conv1,2011.025,4518.294,15.312,19.141,100.000,3.828,98.172,116.000
block-3-2-bn1,45.240,141.013,19.141,19.141,0.020,3.848,0.000,0.000
block-3-2-conv2,12712.222,14538.914,19.141,22.969,450.000,7.656,1860.344,1868.000
block-3-2-bn2,80.043,174.004,22.969,22.969,0.039,7.695,0.000,20.000
block-3-2-conv3,3955.936,9445.006,22.969,30.625,200.000,15.312,0.000,208.000
block-3-2-bn3,152.415,181.073,30.625,30.625,0.078,16.078,0.000,32.000
block-3-2-downsample,65.374,32.973,30.625,15.312,0.000,16.000,0.000,16.000
block-3-2-relu,46.247,60.952,15.312,15.312,0.000,16.000,0.000,32.000
avgpool,43.529,84.198,15.312,0.312,0.000,0.312,0.000,16.000
fc,82.743,228.447,0.312,0.031,40.004,0.031,0.000,40.000
