op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,5382.526,7452.160,18.375,343.000,0.126,344.000,688.000,0.000
bn1,1475.036,2305.675,343.000,343.000,0.002,344.002,0.000,688.000
relu1,920.206,1272.416,343.000,343.000,0.000,344.000,0.000,688.000
maxpool,814.718,3858.650,343.000,85.750,0.000,258.000,0.000,430.000
block-0-0-conv1,916.052,3171.760,85.750,171.500,0.191,86.000,0.000,430.000
block-0-0-bn1,390.345,566.828,171.500,171.500,0.002,86.002,0.000,172.000
block-0-0-conv2,4716.873,11939.013,171.500,257.250,3.445,172.000,594.000,594.000
block-0-0-bn2,728.810,1112.771,257.250,257.250,0.003,172.004,0.000,344.000
block-0-0-conv3,6607.914,15717.298,257.250,428.750,1.531,344.000,0.000,862.000
block-0-0-bn3,1412.266,2224.082,428.750,428.750,0.007,344.007,0.000,688.000
block-0-0-downsample,5880.737,11079.073,428.750,343.000,0.766,688.007,343.993,518.000
block-0-0-relu,946.867,1272.380,343.000,343.000,0.000,344.000,0.000,688.000
block-0-1-conv1,3374.988,11255.872,343.000,428.750,0.766,86.000,0.000,1462.000
block-0-1-bn1,390.345,566.828,428.750,428.750,0.002,86.002,0.000,172.000
block-0-1-conv2,4716.873,11939.013,428.750,514.500,3.445,172.000,594.000,594.000
block-0-1-bn2,728.810,1112.771,514.500,514.500,0.003,172.004,0.000,344.000
block-0-1-conv3,6607.914,15717.298,514.500,686.000,1.531,344.000,0.000,862.000
block-0-1-bn3,1412.266,2224.082,686.000,686.000,0.007,344.007,0.000,688.000
block-0-1-downsample,1304.245,44.405,686.000,343.000,0.000,344.000,0.000,344.000
block-0-1-relu,946.867,1272.380,343.000,343.000,0.000,344.000,0.000,688.000
block-0-2-conv1,3374.988,11255.872,343.000,428.750,0.766,86.000,0.000,1462.000
block-0-2-bn1,390.345,566.828,428.750,428.750,0.002,86.002,0.000,172.000
block-0-2-conv2,4716.873,11939.013,428.750,514.500,3.445,172.000,594.000,594.000
block-0-2-bn2,728.810,1112.771,514.500,514.500,0.003,172.004,0.000,344.000
block-0-2-conv3,6607.914,15717.298,514.500,686.000,1.531,344.000,0.000,862.000
block-0-2-bn3,1412.266,2224.082,686.000,686.000,0.007,344.007,0.000,688.000
block-0-2-downsample,1304.245,44.405,686.000,343.000,0.000,344.000,0.000,344.000
block-0-2-relu,946.867,1272.380,343.000,343.000,0.000,344.000,0.000,688.000
block-1-0-conv1,6628.168,18316.650,343.000,514.500,1.531,171.500,0.000,1550.000
block-1-0-bn1,728.810,1112.771,514.500,514.500,0.003,172.004,0.000,344.000
block-1-0-conv2,14009.017,32978.731,514.500,428.750,13.781,85.750,0.000,602.000
block-1-0-bn2,348.395,570.118,428.750,428.750,0.007,86.007,0.000,172.000
block-1-0-conv3,6630.051,13691.127,428.750,514.500,6.125,172.000,0.000,546.000
block-1-0-bn3,685.751,1148.188,514.500,514.500,0.014,172.014,0.000,344.000
block-1-0-downsample,7452.995,19215.113,514.500,171.500,6.125,344.014,171.986,1204.000
block-1-0-relu,472.003,640.672,171.500,171.500,0.000,172.000,0.000,344.000
block-1-1-conv1,3426.588,8540.100,171.500,214.375,3.062,42.875,0.000,736.000
block-1-1-bn1,195.348,285.804,214.375,214.375,0.003,42.879,1.121,88.000
block-1-1-conv2,4520.547,9185.094,214.375,257.250,13.781,86.000,346.000,346.000
block-1-1-bn2,348.395,570.118,257.250,257.250,0.007,86.007,0.000,172.000
block-1-1-conv3,6630.051,13691.127,257.250,343.000,6.125,172.000,0.000,546.000
block-1-1-bn3,685.751,1148.188,343.000,343.000,0.014,172.014,0.000,344.000
block-1-1-downsample,646.985,25.326,343.000,171.500,0.000,172.000,0.000,172.000
block-1-1-relu,472.003,640.672,171.500,171.500,0.000,172.000,0.000,344.000
block-1-2-conv1,3426.588,8540.100,171.500,214.375,3.062,42.875,0.000,736.000
block-1-2-bn1,195.348,285.804,214.375,214.375,0.003,42.879,1.121,88.000
block-1-2-conv2,4520.547,9185.094,214.375,257.250,13.781,86.000,346.000,346.000
block-1-2-bn2,348.395,570.118,257.250,257.250,0.007,86.007,0.000,172.000
block-1-2-conv3,6630.051,13691.127,257.250,343.000,6.125,172.000,0.000,546.000
block-1-2-bn3,685.751,1148.188,343.000,343.000,0.014,172.014,0.000,344.000
block-1-2-downsample,646.985,25.326,343.000,171.500,0.000,172.000,0.000,172.000
block-1-2-relu,472.003,640.672,171.500,171.500,0.000,172.000,0.000,344.000
block-1-3-conv1,3426.588,8540.100,171.500,214.375,3.062,42.875,0.000,736.000
block-1-3-bn1,195.348,285.804,214.375,214.375,0.003,42.879,1.121,88.000
block-1-3-conv2,4520.547,9185.094,214.375,257.250,13.781,86.000,346.000,346.000
block-1-3-bn2,348.395,570.118,257.250,257.250,0.007,86.007,0.000,172.000
block-1-3-conv3,6630.051,13691.127,257.250,343.000,6.125,172.000,0.000,546.000
block-1-3-bn3,685.751,1148.188,343.000,343.000,0.014,172.014,0.000,344.000
block-1-3-downsample,646.985,25.326,343.000,171.500,0.000,172.000,0.000,172.000
block-1-3-relu,472.003,640.672,171.500,171.500,0.000,172.000,0.000,344.000
block-2-0-conv1,6097.406,14635.044,171.500,257.250,6.125,85.750,0.000,804.000
block-2-0-bn1,348.395,570.118,257.250,257.250,0.007,86.007,0.000,172.000
block-2-0-conv2,15312.755,36282.504,257.250,214.375,55.125,42.875,241.125,86.000
block-2-0-bn2,149.024,290.233,214.375,214.375,0.014,42.889,1.111,88.000
