data_size(MB),time(ms)
12,0.771
8,0.541
16,1.007
24,1.471
32,1.935
256,15.272
272,16.228
384,22.884
40,3.869
400,37.710
20,1.229
128,7.637
140,8.353
192,11.447
4,0.354
200,18.972
144,8.614
28,2.759
6,0.426
14,0.883
64,3.875
74,4.451
96,5.761
2,0.217
10,0.672
100,9.568
80,4.806
22,1.405
48,2.898
512,30.481
544,32.357
768,45.644
800,75.377
280,16.669
288,17.130
56,5.370
148,8.821
160,9.547
44,2.705
1024,60.989
1088,64.703
1536,91.310
1600,150.722
560,33.267
576,34.244
112,10.672
296,17.624
320,19.074
88,5.327
2048,121.726
2176,1000000000.000
3072,1000000000.000
3200,1000000000.000
1120,66.662
1152,68.409
224,21.211
592,35.240
640,38.106
176,10.536
