op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
block-2-4-conv2,16846.818,31141.281,229.688,275.625,112.500,92.000,856.000,856.000
block-2-4-bn2,321.472,660.247,275.625,275.625,0.020,92.020,0.000,184.000
block-2-4-conv3,20325.255,40195.024,275.625,367.500,50.000,184.000,52.000,510.000
block-2-4-bn3,621.152,1301.920,367.500,367.500,0.039,184.039,0.000,368.000
block-2-4-downsample,681.520,31.000,367.500,183.750,0.000,184.000,0.000,184.000
block-2-4-relu,469.398,683.904,183.750,183.750,0.000,184.000,0.000,368.000
block-2-5-conv1,10318.470,21901.459,183.750,229.688,25.000,46.000,0.000,808.000
block-2-5-bn1,161.773,355.011,229.688,229.688,0.010,46.010,0.000,92.000
block-2-5-conv2,16846.818,31141.281,229.688,275.625,112.500,92.000,856.000,856.000
block-2-5-bn2,321.472,660.247,275.625,275.625,0.020,92.020,0.000,184.000
block-2-5-conv3,20325.255,40195.024,275.625,367.500,50.000,184.000,52.000,510.000
block-2-5-bn3,621.152,1301.920,367.500,367.500,0.039,184.039,0.000,368.000
block-2-5-downsample,681.520,31.000,367.500,183.750,0.000,184.000,0.000,184.000
block-2-5-relu,469.398,683.904,183.750,183.750,0.000,184.000,0.000,368.000
block-3-0-conv1,20620.781,41493.958,183.750,275.625,50.000,91.875,0.000,878.000
block-3-0-bn1,321.472,660.247,275.625,275.625,0.020,92.020,0.000,184.000
block-3-0-conv2,48296.297,116531.461,275.625,229.688,450.000,46.000,1038.000,452.000
block-3-0-bn2,199.121,269.830,229.688,229.688,0.039,46.039,0.000,92.000
block-3-0-conv3,58147.722,47046.912,229.688,275.625,200.000,91.875,110.125,448.000
block-3-0-bn3,364.846,516.039,275.625,275.625,0.078,92.078,0.000,184.000
block-3-0-downsample,20493.841,65874.368,275.625,91.875,200.000,183.953,110.047,678.000
block-3-0-relu,236.458,345.200,91.875,91.875,0.000,92.000,0.000,184.000
block-3-1-conv1,18619.573,23448.825,91.875,114.844,100.000,22.969,79.031,386.000
block-3-1-bn1,100.929,138.640,114.844,114.844,0.020,22.988,1.012,48.000
block-3-1-conv2,19989.073,35923.016,114.844,137.812,450.000,46.000,2004.000,2004.000
block-3-1-bn2,199.121,269.830,137.812,137.812,0.039,46.039,0.000,92.000
block-3-1-conv3,58147.722,47046.912,137.812,183.750,200.000,91.875,110.125,448.000
block-3-1-bn3,364.846,516.039,183.750,183.750,0.078,92.078,0.000,184.000
block-3-1-downsample,370.193,47.994,183.750,91.875,0.000,92.000,0.000,92.000
block-3-1-relu,236.458,345.200,91.875,91.875,0.000,92.000,0.000,184.000
block-3-2-conv1,18619.573,23448.825,91.875,114.844,100.000,22.969,79.031,386.000
block-3-2-bn1,100.929,138.640,114.844,114.844,0.020,22.988,1.012,48.000
block-3-2-conv2,19989.073,35923.016,114.844,137.812,450.000,46.000,2004.000,2004.000
block-3-2-bn2,199.121,269.830,137.812,137.812,0.039,46.039,0.000,92.000
block-3-2-conv3,58147.722,47046.912,137.812,183.750,200.000,91.875,110.125,448.000
block-3-2-bn3,364.846,516.039,183.750,183.750,0.078,92.078,0.000,184.000
block-3-2-downsample,370.193,47.994,183.750,91.875,0.000,92.000,0.000,92.000
block-3-2-relu,236.458,345.200,91.875,91.875,0.000,92.000,0.000,184.000
avgpool,234.264,159.436,91.875,1.875,0.000,1.875,18.125,92.000
fc,135.660,210.857,1.875,0.188,40.004,0.188,0.000,0.000
