data_size(MB),time(ms)
12,1.140
8,0.766
16,1.467
24,2.216
32,2.885
256,22.643
272,24.233
384,33.924
40,5.292
400,52.169
20,1.864
128,11.372
140,12.429
192,17.060
4,0.446
200,26.185
144,12.799
28,3.742
6,0.599
14,1.294
64,5.713
74,6.554
96,8.535
2,0.282
10,0.988
100,13.123
80,7.119
22,1.994
48,4.291
512,45.170
544,48.035
768,67.687
800,104.189
280,24.770
288,25.466
56,7.395
148,13.073
160,14.196
44,3.926
1024,90.257
1088,95.842
1536,135.271
1600,208.395
560,49.463
576,50.857
112,14.709
296,26.190
320,28.283
88,7.821
2048,180.773
2176,191.653
3072,270.921
3200,416.615
1120,98.881
1152,101.717
224,29.306
592,52.227
640,56.575
176,15.460
