data_size(MB),time(ms)
172,10.222
171,10.244
128,7.768
42,2.642
85,5.190
86,5.227
214,12.868
344,32.617
257,15.368
343,20.469
21,2.084
107,10.187
22,1.410
10,0.729
53,3.230
64,6.154
43,4.168
5,0.581
26,1.682
32,3.159
0,0.124
108,6.470
366,34.771
258,24.477
44,2.664
27,2.650
65,6.252
16,1.666
13,1.335
96,5.848
194,11.594
354,33.577
48,4.667
24,1.557
54,5.270
12,1.269
428,25.531
688,65.166
514,30.713
686,40.803
430,25.525
730,69.154
516,48.844
386,23.077
710,67.235
193,18.403
385,23.028
643,38.316
1029,99.638
771,47.074
321,31.093
160,15.591
192,18.711
80,7.850
1,0.239
17,1.114
322,31.037
1093,104.661
774,73.840
81,7.824
40,3.936
290,27.738
578,55.206
1061,63.148
644,61.328
144,13.875
72,6.979
36,2.275
857,51.313
1372,130.192
858,51.182
1458,138.122
515,30.670
429,25.646
1032,97.662
772,46.096
1414,133.651
860,81.480
