data_size(MB),time(ms)
12,4.847
8,3.297
16,6.742
24,9.873
32,13.130
256,105.056
272,111.341
384,156.984
40,28.244
400,324.676
20,8.215
128,52.368
140,57.321
192,78.704
4,1.710
200,162.616
144,58.900
28,22.995
6,2.466
14,5.846
64,26.269
74,30.356
96,39.432
2,0.823
10,4.140
100,81.602
80,32.777
22,17.966
48,19.698
512,209.248
544,222.385
768,313.601
800,649.277
280,114.635
288,117.875
56,45.679
148,60.610
160,65.558
44,35.960
1024,418.260
1088,1000000000.000
1536,1000000000.000
1600,1000000000.000
560,228.897
576,235.261
112,91.037
296,120.928
320,130.881
88,71.672
2048,1000000000.000
2176,1000000000.000
3072,1000000000.000
3200,1000000000.000
1120,1000000000.000
1152,1000000000.000
224,182.079
592,242.099
640,261.662
176,142.941
