data_size(MB),time(ms)
172,15.428
171,15.501
128,11.625
42,3.951
85,7.835
86,12.066
214,19.231
344,47.828
257,23.072
343,30.752
21,2.070
107,9.804
22,3.195
10,1.072
53,4.944
64,11.860
43,8.094
5,0.913
26,2.531
32,5.876
0,0.191
108,9.700
366,50.796
258,47.468
44,4.029
27,5.081
65,12.132
16,2.888
13,2.449
96,8.752
194,17.458
354,65.273
48,8.882
24,2.354
54,10.195
12,1.945
428,38.783
688,95.413
514,46.330
686,61.875
430,38.723
730,101.417
516,94.954
386,34.869
710,98.365
193,17.342
385,34.807
643,57.950
1029,1000000000.000
771,69.654
321,59.297
160,29.597
192,17.345
80,7.337
1,0.274
17,1.697
322,59.476
1093,1000000000.000
774,142.217
81,15.042
40,7.402
290,53.423
578,106.522
1061,1000000000.000
644,118.375
144,26.743
72,6.615
36,5.253
857,77.334
1372,1000000000.000
858,77.431
1458,1000000000.000
515,46.591
429,38.658
1032,1000000000.000
772,69.752
1414,1000000000.000
860,157.902
