data_size(MB),time(ms)
12,1.770
8,1.210
16,2.369
24,3.530
32,4.688
256,37.313
272,39.647
384,55.874
40,5.939
400,58.323
20,2.938
128,18.696
140,20.397
192,27.975
4,0.601
200,29.281
144,20.995
28,4.125
6,0.900
14,2.067
64,9.409
74,10.843
96,14.007
2,0.317
10,1.498
100,14.624
80,11.688
22,3.236
48,6.998
512,74.590
544,79.298
768,111.879
800,116.636
280,40.839
288,41.962
56,8.271
148,21.621
160,23.394
44,6.537
1024,149.108
1088,158.479
1536,223.990
1600,233.351
560,81.549
576,83.842
112,16.449
296,43.118
320,46.614
88,12.964
2048,298.265
2176,317.030
3072,447.505
3200,466.050
1120,163.040
1152,167.711
224,32.746
592,86.586
640,93.242
176,25.733
