data_size(MB),time(ms)
12,1.203
8,0.833
16,1.544
24,2.273
32,2.950
256,23.028
272,24.622
384,34.402
40,7.402
400,55.620
20,1.860
128,11.509
140,12.633
192,17.224
4,0.479
200,28.134
144,12.863
28,2.659
6,0.652
14,1.422
64,5.815
74,6.688
96,8.626
2,0.292
10,1.043
100,14.123
80,7.209
22,3.215
48,4.360
512,45.910
544,48.996
768,69.116
800,110.966
280,25.139
288,25.737
56,5.143
148,13.256
160,14.328
44,6.327
1024,92.069
1088,1000000000.000
1536,1000000000.000
1600,1000000000.000
560,50.253
576,51.832
112,10.154
296,26.494
320,28.652
88,12.417
2048,1000000000.000
2176,1000000000.000
3072,1000000000.000
3200,1000000000.000
1120,1000000000.000
1152,1000000000.000
224,20.107
592,53.394
640,57.378
176,24.628
