op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,747.347,1581.681,0.062,32.000,63.750,48.000,0.000,128.000
enc-1st-layernorm,112.200,357.717,32.000,64.000,0.000,32.125,0.000,256.000
enc-attention-qkv,1551.288,2827.501,64.000,128.000,6.000,96.000,96.000,402.000
enc-attention-score,2113.223,3934.836,128.000,1088.000,0.000,1024.000,1024.000,2144.000
enc-attention-softmax,3577.471,3818.232,1088.000,1088.000,0.000,1024.000,0.000,3072.000
enc-attention-dropout,3837.842,3226.572,1088.000,1088.000,0.000,1536.000,0.000,4096.000
enc-attention-context,2670.658,3399.247,1088.000,64.000,0.000,32.000,32.000,1120.000
enc-attention-dense,404.793,823.587,64.000,64.002,2.000,32.000,0.000,128.000
enc-post-attention-dropout,365.770,205.058,64.002,32.000,0.000,48.000,32.000,208.000
enc-2nd-layernorm,119.543,388.718,32.000,64.000,0.000,32.125,0.000,256.000
enc-MLP-GEMM-1,1726.532,2998.984,64.000,160.008,8.000,128.000,0.000,416.000
enc-MLP-gelu,362.015,662.595,160.008,160.000,0.000,128.000,0.000,592.000
enc-MLP-GEMM-2,1601.714,3264.064,160.000,64.002,8.000,32.000,0.000,192.000
enc-post-MLP-dropout,360.250,190.896,64.002,32.000,0.000,48.000,32.000,208.000
enc-final-layernorm,216.621,683.558,32.000,32.000,0.000,64.125,0.000,128.000
decoder-embedding,325.274,66.078,32.000,40.000,63.750,44.035,27.965,96.000
dec-1st-layernorm,48.983,214.279,40.000,48.000,0.000,8.031,0.000,168.000
dec-attention-qkv-1,412.214,769.269,48.000,64.000,6.000,24.000,40.000,274.000
dec-attention-score-1,163.221,351.000,64.000,112.000,0.000,64.000,64.000,264.000
dec-attention-softmax-1,152.832,175.679,112.000,112.000,0.000,64.000,0.000,288.000
dec-attention-dropout-1,241.619,208.294,112.000,112.000,0.000,96.000,0.000,352.000
dec-attention-context-1,212.473,298.524,112.000,48.000,0.000,8.000,12.000,176.000
dec-attention-dense-1,127.637,241.679,48.000,48.002,2.000,8.000,12.000,132.000
dec-post-attention-dropout-1,100.636,80.514,48.002,40.000,0.000,12.000,8.000,164.000
dec-2nd-layernorm,41.646,147.748,40.000,48.000,0.000,8.031,0.000,168.000
dec-attention-qkv-2,1163.673,2265.424,48.000,112.000,6.000,72.000,76.000,432.000
dec-attention-score-2,557.619,1157.844,112.000,328.000,0.000,256.000,256.000,768.000
dec-attention-softmax-2,842.541,960.791,328.000,328.000,0.000,256.000,0.000,864.000
dec-attention-dropout-2,966.918,812.262,328.000,328.000,0.000,384.000,0.000,1120.000
dec-attention-context-2,755.417,942.498,328.000,48.000,0.000,8.000,12.000,400.000
dec-attention-dense-2,127.721,251.752,48.000,48.002,2.000,8.000,12.000,132.000
dec-post-attention-dropout-2,101.584,89.133,48.002,40.000,0.000,12.000,8.000,164.000
dec-3rd-layernorm,50.968,160.259,40.000,48.000,0.000,8.031,0.000,168.000
dec-MLP-GEMM-1,413.692,838.894,48.000,72.008,8.000,32.000,0.000,212.000
dec-MLP-gelu,94.938,191.259,72.008,72.000,0.000,32.000,0.000,304.000
dec-MLP-GEMM-2,432.730,846.899,72.000,48.002,8.000,8.000,0.000,148.000
dec-post-MLP-dropout,101.590,127.757,48.002,40.000,0.000,12.000,8.000,164.000
dec-final-layernorm,67.276,567.466,40.000,40.000,0.000,16.031,3.969,132.000
t5-post-process,8924.842,8029.288,8.000,0.000,59.750,478.051,239.949,0.000
