op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,55367.655,10616.994,27.562,514.500,0.031,514.500,651.500,516.000
bn1,2200.711,3477.669,514.500,514.500,0.002,514.502,1.498,1032.000
relu1,1371.604,1903.707,514.500,514.500,0.000,514.500,1.500,1032.000
maxpool,1186.740,5307.704,514.500,128.625,0.000,386.625,1.375,646.000
block-0-0-conv1,26162.279,15213.257,128.625,257.250,0.048,160.781,105.219,588.000
block-0-0-bn1,586.653,939.918,257.250,257.250,0.002,128.627,1.373,260.000
block-0-0-conv2,53291.601,20046.794,257.250,385.875,0.861,290.156,759.844,656.000
block-0-0-bn2,1163.942,1667.064,385.875,385.875,0.003,258.004,0.000,516.000
block-0-0-conv3,102830.362,33545.727,385.875,643.125,0.383,578.812,201.188,906.000
block-0-0-bn3,2224.863,3335.243,643.125,643.125,0.007,514.507,1.493,1032.000
block-0-0-downsample,105304.784,21484.417,643.125,514.500,0.191,1061.163,622.837,516.000
block-0-0-relu,1369.441,1905.245,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-1-conv1,27993.155,59438.759,514.500,643.125,0.191,257.250,262.750,2068.000
block-0-1-bn1,586.653,939.918,643.125,643.125,0.002,128.627,1.373,260.000
block-0-1-conv2,53291.601,20046.794,643.125,771.750,0.861,290.156,759.844,656.000
block-0-1-bn2,1163.942,1667.064,771.750,771.750,0.003,258.004,0.000,516.000
block-0-1-conv3,102830.362,33545.727,771.750,1029.000,0.383,578.812,201.188,906.000
block-0-1-bn3,2224.863,3335.243,1029.000,1029.000,0.007,514.507,1.493,1032.000
block-0-1-downsample,1900.268,57.083,1029.000,514.500,0.000,514.500,1.500,516.000
block-0-1-relu,1369.441,1905.245,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-2-conv1,27993.155,59438.759,514.500,643.125,0.191,257.250,262.750,2068.000
block-0-2-bn1,586.653,939.918,643.125,643.125,0.002,128.627,1.373,260.000
block-0-2-conv2,53291.601,20046.794,643.125,771.750,0.861,290.156,759.844,656.000
block-0-2-bn2,1163.942,1667.064,771.750,771.750,0.003,258.004,0.000,516.000
block-0-2-conv3,102830.362,33545.727,771.750,1029.000,0.383,578.812,201.188,906.000
block-0-2-bn3,2224.863,3335.243,1029.000,1029.000,0.007,514.507,1.493,1032.000
block-0-2-downsample,1900.268,57.083,1029.000,514.500,0.000,514.500,1.500,516.000
block-0-2-relu,1369.441,1905.245,514.500,514.500,0.000,514.500,1.500,1032.000
block-1-0-conv1,53700.888,62408.465,514.500,771.750,0.383,386.625,391.375,2066.000
block-1-0-bn1,1163.942,1667.064,771.750,771.750,0.003,258.004,0.000,516.000
block-1-0-conv2,31249.249,38938.653,771.750,643.125,3.445,192.938,269.062,390.000
block-1-0-bn2,566.214,938.165,643.125,643.125,0.007,128.632,1.368,260.000
block-1-0-conv3,52907.890,18905.294,643.125,771.750,1.531,290.156,35.844,462.000
block-1-0-bn3,1071.727,1716.870,771.750,771.750,0.014,258.014,0.000,516.000
block-1-0-downsample,55888.623,62350.494,771.750,257.250,1.531,644.639,649.361,774.000
block-1-0-relu,662.851,954.926,257.250,257.250,0.000,258.000,0.000,516.000
block-1-1-conv1,14736.611,31041.259,257.250,321.562,0.766,128.625,135.375,1038.000
block-1-1-bn1,294.995,471.675,321.562,321.562,0.003,64.316,1.684,132.000
block-1-1-conv2,27645.904,11624.503,321.562,385.875,3.445,144.703,343.297,340.000
block-1-1-bn2,566.214,938.165,385.875,385.875,0.007,128.632,1.368,260.000
block-1-1-conv3,52907.890,18905.294,385.875,514.500,1.531,290.156,35.844,462.000
block-1-1-bn3,1071.727,1716.870,514.500,514.500,0.014,258.014,0.000,516.000
block-1-1-downsample,952.286,49.114,514.500,257.250,0.000,258.000,0.000,258.000
block-1-1-relu,662.851,954.926,257.250,257.250,0.000,258.000,0.000,516.000
block-1-2-conv1,14736.611,31041.259,257.250,321.562,0.766,128.625,135.375,1038.000
block-1-2-bn1,294.995,471.675,321.562,321.562,0.003,64.316,1.684,132.000
block-1-2-conv2,27645.904,11624.503,321.562,385.875,3.445,144.703,343.297,340.000
block-1-2-bn2,566.214,938.165,385.875,385.875,0.007,128.632,1.368,260.000
block-1-2-conv3,52907.890,18905.294,385.875,514.500,1.531,290.156,35.844,462.000
block-1-2-bn3,1071.727,1716.870,514.500,514.500,0.014,258.014,0.000,516.000
block-1-2-downsample,952.286,49.114,514.500,257.250,0.000,258.000,0.000,258.000
block-1-2-relu,662.851,954.926,257.250,257.250,0.000,258.000,0.000,516.000
block-1-3-conv1,14736.611,31041.259,257.250,321.562,0.766,128.625,135.375,1038.000
block-1-3-bn1,294.995,471.675,321.562,321.562,0.003,64.316,1.684,132.000
block-1-3-conv2,27645.904,11624.503,321.562,385.875,3.445,144.703,343.297,340.000
block-1-3-bn2,566.214,938.165,385.875,385.875,0.007,128.632,1.368,260.000
block-1-3-conv3,52907.890,18905.294,385.875,514.500,1.531,290.156,35.844,462.000
block-1-3-bn3,1071.727,1716.870,514.500,514.500,0.014,258.014,0.000,516.000
block-1-3-downsample,952.286,49.114,514.500,257.250,0.000,258.000,0.000,258.000
block-1-3-relu,662.851,954.926,257.250,257.250,0.000,258.000,0.000,516.000
block-2-0-conv1,28341.961,33230.972,257.250,385.875,1.531,192.938,0.000,1176.000
block-2-0-bn1,566.214,938.165,385.875,385.875,0.007,128.632,1.368,260.000
block-2-0-conv2,18384.731,26091.093,385.875,321.562,13.781,96.469,71.531,264.000
block-2-0-bn2,235.331,486.618,321.562,321.562,0.014,64.326,1.674,132.000
block-2-0-conv3,27735.698,12724.572,321.562,385.875,6.125,144.703,39.297,448.000
block-2-0-bn3,435.638,911.754,385.875,385.875,0.027,128.652,1.348,260.000
block-2-0-downsample,29230.988,34798.622,385.875,128.625,6.125,321.590,332.410,388.000
block-2-0-relu,359.040,521.523,128.625,128.625,0.000,128.625,1.375,260.000
block-2-1-conv1,8067.679,16840.065,128.625,160.781,3.062,64.312,71.688,528.000
block-2-1-bn1,124.609,246.322,160.781,160.781,0.007,32.163,1.837,68.000
block-2-1-conv2,15109.819,8515.561,160.781,192.938,13.781,72.352,301.648,268.000
block-2-1-bn2,235.331,486.618,192.938,192.938,0.014,64.326,1.674,132.000
block-2-1-conv3,27735.698,12724.572,192.938,257.250,6.125,144.703,39.297,448.000
block-2-1-bn3,435.638,911.754,257.250,257.250,0.027,128.652,1.348,260.000
block-2-1-downsample,478.655,32.121,257.250,128.625,0.000,128.625,1.375,130.000
block-2-1-relu,359.040,521.523,128.625,128.625,0.000,128.625,1.375,260.000
block-2-2-conv1,8067.679,16840.065,128.625,160.781,3.062,64.312,71.688,528.000
block-2-2-bn1,124.609,246.322,160.781,160.781,0.007,32.163,1.837,68.000
block-2-2-conv2,15109.819,8515.561,160.781,192.938,13.781,72.352,301.648,268.000
block-2-2-bn2,235.331,486.618,192.938,192.938,0.014,64.326,1.674,132.000
block-2-2-conv3,27735.698,12724.572,192.938,257.250,6.125,144.703,39.297,448.000
block-2-2-bn3,435.638,911.754,257.250,257.250,0.027,128.652,1.348,260.000
block-2-2-downsample,478.655,32.121,257.250,128.625,0.000,128.625,1.375,130.000
block-2-2-relu,359.040,521.523,128.625,128.625,0.000,128.625,1.375,260.000
block-2-3-conv1,8067.679,16840.065,128.625,160.781,3.062,64.312,71.688,528.000
block-2-3-bn1,124.609,246.322,160.781,160.781,0.007,32.163,1.837,68.000
block-2-3-conv2,15109.819,8515.561,160.781,192.938,13.781,72.352,301.648,268.000
block-2-3-bn2,235.331,486.618,192.938,192.938,0.014,64.326,1.674,132.000
block-2-3-conv3,27735.698,12724.572,192.938,257.250,6.125,144.703,39.297,448.000
block-2-3-bn3,435.638,911.754,257.250,257.250,0.027,128.652,1.348,260.000
block-2-3-downsample,478.655,32.121,257.250,128.625,0.000,128.625,1.375,130.000
block-2-3-relu,359.040,521.523,128.625,128.625,0.000,128.625,1.375,260.000
block-2-4-conv1,8067.679,16840.065,128.625,160.781,3.062,64.312,71.688,528.000
block-2-4-bn1,124.609,246.322,160.781,160.781,0.007,32.163,1.837,68.000
block-2-4-conv2,15109.819,8515.561,160.781,192.938,13.781,72.352,301.648,268.000
block-2-4-bn2,235.331,486.618,192.938,192.938,0.014,64.326,1.674,132.000
block-2-4-conv3,27735.698,12724.572,192.938,257.250,6.125,144.703,39.297,448.000
block-2-4-bn3,435.638,911.754,257.250,257.250,0.027,128.652,1.348,260.000
block-2-4-downsample,478.655,32.121,257.250,128.625,0.000,128.625,1.375,130.000
block-2-4-relu,359.040,521.523,128.625,128.625,0.000,128.625,1.375,260.000
