op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,47516.978,11134.559,27.562,514.500,0.063,514.500,775.500,516.000
bn1,2204.067,3483.593,514.500,514.500,0.002,514.502,1.498,1032.000
relu1,1407.123,1904.082,514.500,514.500,0.000,514.500,1.500,1032.000
maxpool,1212.549,5633.873,514.500,128.625,0.000,386.625,1.375,646.000
block-0-0-conv1,20045.817,13568.360,128.625,257.250,0.096,192.938,69.062,652.000
block-0-0-bn1,586.212,952.476,257.250,257.250,0.002,128.627,1.373,260.000
block-0-0-conv2,42162.979,21142.268,257.250,385.875,1.723,322.312,799.688,732.000
block-0-0-bn2,1162.946,1862.627,385.875,385.875,0.003,258.004,0.000,516.000
block-0-0-conv3,80621.785,34824.032,385.875,643.125,0.766,643.125,132.875,1034.000
block-0-0-bn3,2300.650,3497.505,643.125,643.125,0.007,514.507,1.493,1032.000
block-0-0-downsample,82061.929,20983.458,643.125,514.500,0.383,1093.319,586.681,582.000
block-0-0-relu,1425.505,1991.373,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-1-conv1,22815.436,56939.322,514.500,643.125,0.383,386.625,129.375,2342.000
block-0-1-bn1,586.212,952.476,643.125,643.125,0.002,128.627,1.373,260.000
block-0-1-conv2,42162.979,21142.268,643.125,771.750,1.723,322.312,799.688,732.000
block-0-1-bn2,1162.946,1862.627,771.750,771.750,0.003,258.004,0.000,516.000
block-0-1-conv3,80621.785,34824.032,771.750,1029.000,0.766,643.125,132.875,1034.000
block-0-1-bn3,2300.650,3497.505,1029.000,1029.000,0.007,514.507,1.493,1032.000
block-0-1-downsample,1900.941,44.763,1029.000,514.500,0.000,514.500,1.500,516.000
block-0-1-relu,1425.505,1991.373,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-2-conv1,22815.436,56939.322,514.500,643.125,0.383,386.625,129.375,2342.000
block-0-2-bn1,586.212,952.476,643.125,643.125,0.002,128.627,1.373,260.000
block-0-2-conv2,42162.979,21142.268,643.125,771.750,1.723,322.312,799.688,732.000
block-0-2-bn2,1162.946,1862.627,771.750,771.750,0.003,258.004,0.000,516.000
block-0-2-conv3,80621.785,34824.032,771.750,1029.000,0.766,643.125,132.875,1034.000
block-0-2-bn3,2300.650,3497.505,1029.000,1029.000,0.007,514.507,1.493,1032.000
block-0-2-downsample,1900.941,44.763,1029.000,514.500,0.000,514.500,1.500,516.000
block-0-2-relu,1425.505,1991.373,514.500,514.500,0.000,514.500,1.500,1032.000
block-1-0-conv1,43576.288,63099.682,514.500,771.750,0.766,516.000,0.000,2582.000
block-1-0-bn1,1162.946,1862.627,771.750,771.750,0.003,258.004,0.000,516.000
block-1-0-conv2,29778.135,45521.688,771.750,643.125,6.891,257.250,8.750,648.000
block-1-0-bn2,565.487,937.474,643.125,643.125,0.007,128.632,1.368,260.000
