data_size(MB),time(ms)
12,1.461
8,1.025
16,1.884
24,2.751
32,3.810
256,29.079
272,30.893
384,43.397
40,7.360
400,64.107
20,2.295
128,14.602
140,15.847
192,21.788
4,0.570
200,32.044
144,16.385
28,3.233
6,0.782
14,1.670
64,7.312
74,8.352
96,10.946
2,0.358
10,1.200
100,16.079
80,9.166
22,3.540
48,5.529
512,57.879
544,61.498
768,87.073
800,127.986
280,31.748
288,32.632
56,6.362
148,16.745
160,18.128
44,7.109
1024,115.856
1088,123.098
1536,173.412
1600,294.956
560,63.325
576,65.172
112,12.777
296,33.476
320,36.201
88,14.095
2048,231.616
2176,245.570
3072,346.890
3200,589.626
1120,126.641
1152,130.275
224,25.412
592,67.255
640,72.440
176,28.207
