op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,3712.338,4958.528,9.188,245.000,0.179,246.000,492.000,0.000
bn1,1054.126,1723.313,245.000,245.000,0.002,246.003,0.000,492.000
relu1,657.105,911.403,245.000,245.000,0.000,246.000,0.000,492.000
maxpool,586.802,2502.298,245.000,61.250,0.000,184.500,1.500,308.000
block-0-0-conv1,822.991,3130.412,61.250,122.500,0.391,62.000,0.000,310.000
block-0-0-bn1,283.360,428.748,122.500,122.500,0.002,62.003,0.000,124.000
block-0-0-conv2,4430.091,9742.731,122.500,183.750,7.031,122.500,443.500,442.000
block-0-0-bn2,509.101,796.711,183.750,183.750,0.005,122.505,1.495,248.000
block-0-0-conv3,6004.536,14886.403,183.750,306.250,3.125,246.000,0.000,620.000
block-0-0-bn3,994.051,1613.092,306.250,306.250,0.010,246.010,0.000,492.000
block-0-0-downsample,5031.508,9339.100,306.250,245.000,1.562,492.010,245.990,372.000
block-0-0-relu,654.042,911.337,245.000,245.000,0.000,246.000,0.000,492.000
block-0-1-conv1,3890.234,11655.873,245.000,306.250,1.562,62.000,0.000,1048.000
block-0-1-bn1,283.360,428.748,306.250,306.250,0.002,62.003,0.000,124.000
block-0-1-conv2,4430.091,9742.731,306.250,367.500,7.031,122.500,443.500,442.000
block-0-1-bn2,509.101,796.711,367.500,367.500,0.005,122.505,1.495,248.000
block-0-1-conv3,6004.536,14886.403,367.500,490.000,3.125,246.000,0.000,620.000
block-0-1-bn3,994.051,1613.092,490.000,490.000,0.010,246.010,0.000,492.000
block-0-1-downsample,926.274,35.584,490.000,245.000,0.000,246.000,0.000,246.000
block-0-1-relu,654.042,911.337,245.000,245.000,0.000,246.000,0.000,492.000
block-0-2-conv1,3890.234,11655.873,245.000,306.250,1.562,62.000,0.000,1048.000
block-0-2-bn1,283.360,428.748,306.250,306.250,0.002,62.003,0.000,124.000
block-0-2-conv2,4430.091,9742.731,306.250,367.500,7.031,122.500,443.500,442.000
block-0-2-bn2,509.101,796.711,367.500,367.500,0.005,122.505,1.495,248.000
block-0-2-conv3,6004.536,14886.403,367.500,490.000,3.125,246.000,0.000,620.000
block-0-2-bn3,994.051,1613.092,490.000,490.000,0.010,246.010,0.000,492.000
block-0-2-downsample,926.274,35.584,490.000,245.000,0.000,246.000,0.000,246.000
block-0-2-relu,654.042,911.337,245.000,245.000,0.000,246.000,0.000,492.000
block-1-0-conv1,6300.193,17602.706,245.000,367.500,3.125,122.500,0.000,1112.000
block-1-0-bn1,509.101,796.711,367.500,367.500,0.005,122.505,1.495,248.000
block-1-0-conv2,14695.561,32802.576,367.500,306.250,28.125,61.250,0.000,464.000
block-1-0-bn2,240.076,408.280,306.250,306.250,0.010,62.010,0.000,124.000
block-1-0-conv3,6396.991,13625.824,306.250,367.500,12.500,122.500,1.500,460.000
block-1-0-bn3,468.057,818.491,367.500,367.500,0.020,122.520,1.480,248.000
block-1-0-downsample,7350.588,18651.742,367.500,122.500,12.500,245.020,126.980,876.000
block-1-0-relu,319.135,460.917,122.500,122.500,0.000,122.500,1.500,248.000
block-1-1-conv1,3835.660,7806.814,122.500,153.125,6.250,30.625,1.375,534.000
block-1-1-bn1,124.687,205.487,153.125,153.125,0.005,30.630,1.370,64.000
block-1-1-conv2,4582.405,8879.006,153.125,183.750,28.125,62.000,320.000,320.000
block-1-1-bn2,240.076,408.280,183.750,183.750,0.010,62.010,0.000,124.000
block-1-1-conv3,6396.991,13625.824,183.750,245.000,12.500,122.500,1.500,460.000
block-1-1-bn3,468.057,818.491,245.000,245.000,0.020,122.520,1.480,248.000
block-1-1-downsample,455.707,39.881,245.000,122.500,0.000,122.500,1.500,124.000
block-1-1-relu,319.135,460.917,122.500,122.500,0.000,122.500,1.500,248.000
block-1-2-conv1,3835.660,7806.814,122.500,153.125,6.250,30.625,1.375,534.000
block-1-2-bn1,124.687,205.487,153.125,153.125,0.005,30.630,1.370,64.000
