op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,7120.341,9583.503,18.375,490.000,0.179,490.000,980.000,0.000
bn1,2165.353,3467.554,490.000,490.000,0.002,490.003,0.000,980.000
relu1,1313.394,1814.157,490.000,490.000,0.000,490.000,0.000,980.000
maxpool,1170.832,5012.780,490.000,122.500,0.000,368.500,1.500,614.000
block-0-0-conv1,1691.985,6143.534,122.500,245.000,0.391,122.500,1.500,620.000
block-0-0-bn1,569.808,850.236,245.000,245.000,0.002,122.503,1.497,248.000
block-0-0-conv2,9759.027,18952.876,245.000,367.500,7.031,246.000,856.000,856.000
block-0-0-bn2,1040.053,1595.396,367.500,367.500,0.005,246.005,0.000,492.000
block-0-0-conv3,12264.788,29441.702,367.500,612.500,3.125,490.000,0.000,1232.000
block-0-0-bn3,2031.738,3227.884,612.500,612.500,0.010,490.010,0.000,980.000
block-0-0-downsample,10194.927,18298.757,612.500,490.000,1.562,980.010,489.990,740.000
block-0-0-relu,1316.535,1814.061,490.000,490.000,0.000,490.000,0.000,980.000
block-0-1-conv1,6663.603,23241.049,490.000,612.500,1.562,122.500,1.500,2086.000
block-0-1-bn1,569.808,850.236,612.500,612.500,0.002,122.503,1.497,248.000
block-0-1-conv2,9759.027,18952.876,612.500,735.000,7.031,246.000,856.000,856.000
block-0-1-bn2,1040.053,1595.396,735.000,735.000,0.005,246.005,0.000,492.000
block-0-1-conv3,12264.788,29441.702,735.000,980.000,3.125,490.000,0.000,1232.000
block-0-1-bn3,2031.738,3227.884,980.000,980.000,0.010,490.010,0.000,980.000
block-0-1-downsample,1862.395,54.693,980.000,490.000,0.000,490.000,0.000,490.000
block-0-1-relu,1316.535,1814.061,490.000,490.000,0.000,490.000,0.000,980.000
block-0-2-conv1,6663.603,23241.049,490.000,612.500,1.562,122.500,1.500,2086.000
block-0-2-bn1,569.808,850.236,612.500,612.500,0.002,122.503,1.497,248.000
block-0-2-conv2,9759.027,18952.876,612.500,735.000,7.031,246.000,856.000,856.000
block-0-2-bn2,1040.053,1595.396,735.000,735.000,0.005,246.005,0.000,492.000
block-0-2-conv3,12264.788,29441.702,735.000,980.000,3.125,490.000,0.000,1232.000
block-0-2-bn3,2031.738,3227.884,980.000,980.000,0.010,490.010,0.000,980.000
block-0-2-downsample,1862.395,54.693,980.000,490.000,0.000,490.000,0.000,490.000
block-0-2-relu,1316.535,1814.061,490.000,490.000,0.000,490.000,0.000,980.000
block-1-0-conv1,14011.729,35261.112,490.000,735.000,3.125,245.000,0.000,2210.000
block-1-0-bn1,1040.053,1595.396,735.000,735.000,0.005,246.005,0.000,492.000
block-1-0-conv2,29275.501,68107.295,735.000,612.500,28.125,122.500,0.000,862.000
block-1-0-bn2,499.028,827.056,612.500,612.500,0.010,122.510,1.490,248.000
block-1-0-conv3,12271.613,26886.076,612.500,735.000,12.500,246.000,0.000,906.000
block-1-0-bn3,981.867,1645.541,735.000,735.000,0.020,246.020,0.000,492.000
block-1-0-downsample,14645.439,37894.553,735.000,245.000,12.500,492.020,245.980,1716.000
block-1-0-relu,646.865,911.158,245.000,245.000,0.000,246.000,0.000,492.000
block-1-1-conv1,6767.887,15460.992,245.000,306.250,6.250,61.250,0.000,1052.000
block-1-1-bn1,265.759,411.820,306.250,306.250,0.005,62.005,0.000,124.000
block-1-1-conv2,9003.949,16823.030,306.250,367.500,28.125,122.500,527.500,526.000
block-1-1-bn2,499.028,827.056,367.500,367.500,0.010,122.510,1.490,248.000
block-1-1-conv3,12271.613,26886.076,367.500,490.000,12.500,246.000,0.000,906.000
block-1-1-bn3,981.867,1645.541,490.000,490.000,0.020,246.020,0.000,492.000
block-1-1-downsample,909.770,27.829,490.000,245.000,0.000,246.000,0.000,246.000
block-1-1-relu,646.865,911.158,245.000,245.000,0.000,246.000,0.000,492.000
block-1-2-conv1,6767.887,15460.992,245.000,306.250,6.250,61.250,0.000,1052.000
block-1-2-bn1,265.759,411.820,306.250,306.250,0.005,62.005,0.000,124.000
block-1-2-conv2,9003.949,16823.030,306.250,367.500,28.125,122.500,527.500,526.000
block-1-2-bn2,499.028,827.056,367.500,367.500,0.010,122.510,1.490,248.000
block-1-2-conv3,12271.613,26886.076,367.500,490.000,12.500,246.000,0.000,906.000
block-1-2-bn3,981.867,1645.541,490.000,490.000,0.020,246.020,0.000,492.000
block-1-2-downsample,909.770,27.829,490.000,245.000,0.000,246.000,0.000,246.000
block-1-2-relu,646.865,911.158,245.000,245.000,0.000,246.000,0.000,492.000
block-1-3-conv1,6767.887,15460.992,245.000,306.250,6.250,61.250,0.000,1052.000
block-1-3-bn1,265.759,411.820,306.250,306.250,0.005,62.005,0.000,124.000
block-1-3-conv2,9003.949,16823.030,306.250,367.500,28.125,122.500,527.500,526.000
block-1-3-bn2,499.028,827.056,367.500,367.500,0.010,122.510,1.490,248.000
block-1-3-conv3,12271.613,26886.076,367.500,490.000,12.500,246.000,0.000,906.000
block-1-3-bn3,981.867,1645.541,490.000,490.000,0.020,246.020,0.000,492.000
block-1-3-downsample,909.770,27.829,490.000,245.000,0.000,246.000,0.000,246.000
block-1-3-relu,646.865,911.158,245.000,245.000,0.000,246.000,0.000,492.000
block-2-0-conv1,12472.469,28834.081,245.000,367.500,12.500,122.500,0.000,1274.000
block-2-0-bn1,499.028,827.056,367.500,367.500,0.010,122.510,1.490,248.000
block-2-0-conv2,31857.759,74894.255,367.500,306.250,112.500,62.000,410.000,124.000
block-2-0-bn2,210.112,407.469,306.250,306.250,0.020,62.020,0.000,124.000
block-2-0-conv3,12573.791,27405.262,306.250,367.500,50.000,122.500,53.500,360.000
block-2-0-bn3,397.992,823.283,367.500,367.500,0.039,122.539,1.461,248.000
block-2-0-downsample,14037.567,38104.868,367.500,122.500,50.000,245.039,178.961,914.000
block-2-0-relu,314.349,455.832,122.500,122.500,0.000,122.500,1.500,248.000
block-2-1-conv1,7137.817,14911.807,122.500,153.125,25.000,30.625,1.375,552.000
block-2-1-bn1,109.786,211.400,153.125,153.125,0.010,30.635,1.365,64.000
block-2-1-conv2,11572.963,21548.969,153.125,183.750,112.500,62.000,720.000,720.000
block-2-1-bn2,210.112,407.469,183.750,183.750,0.020,62.020,0.000,124.000
block-2-1-conv3,12573.791,27405.262,183.750,245.000,50.000,122.500,53.500,360.000
block-2-1-bn3,397.992,823.283,245.000,245.000,0.039,122.539,1.461,248.000
block-2-1-downsample,456.113,28.235,245.000,122.500,0.000,122.500,1.500,124.000
block-2-1-relu,314.349,455.832,122.500,122.500,0.000,122.500,1.500,248.000
block-2-2-conv1,7137.817,14911.807,122.500,153.125,25.000,30.625,1.375,552.000
block-2-2-bn1,109.786,211.400,153.125,153.125,0.010,30.635,1.365,64.000
block-2-2-conv2,11572.963,21548.969,153.125,183.750,112.500,62.000,720.000,720.000
block-2-2-bn2,210.112,407.469,183.750,183.750,0.020,62.020,0.000,124.000
block-2-2-conv3,12573.791,27405.262,183.750,245.000,50.000,122.500,53.500,360.000
block-2-2-bn3,397.992,823.283,245.000,245.000,0.039,122.539,1.461,248.000
block-2-2-downsample,456.113,28.235,245.000,122.500,0.000,122.500,1.500,124.000
block-2-2-relu,314.349,455.832,122.500,122.500,0.000,122.500,1.500,248.000
block-2-3-conv1,7137.817,14911.807,122.500,153.125,25.000,30.625,1.375,552.000
block-2-3-bn1,109.786,211.400,153.125,153.125,0.010,30.635,1.365,64.000
block-2-3-conv2,11572.963,21548.969,153.125,183.750,112.500,62.000,720.000,720.000
block-2-3-bn2,210.112,407.469,183.750,183.750,0.020,62.020,0.000,124.000
block-2-3-conv3,12573.791,27405.262,183.750,245.000,50.000,122.500,53.500,360.000
block-2-3-bn3,397.992,823.283,245.000,245.000,0.039,122.539,1.461,248.000
block-2-3-downsample,456.113,28.235,245.000,122.500,0.000,122.500,1.500,124.000
block-2-3-relu,314.349,455.832,122.500,122.500,0.000,122.500,1.500,248.000
block-2-4-conv1,7137.817,14911.807,122.500,153.125,25.000,30.625,1.375,552.000
block-2-4-bn1,109.786,211.400,153.125,153.125,0.010,30.635,1.365,64.000
block-2-4-conv2,11572.963,21548.969,153.125,183.750,112.500,62.000,720.000,720.000
block-2-4-bn2,210.112,407.469,183.750,183.750,0.020,62.020,0.000,124.000
block-2-4-conv3,12573.791,27405.262,183.750,245.000,50.000,122.500,53.500,360.000
block-2-4-bn3,397.992,823.283,245.000,245.000,0.039,122.539,1.461,248.000
block-2-4-downsample,456.113,28.235,245.000,122.500,0.000,122.500,1.500,124.000
block-2-4-relu,314.349,455.832,122.500,122.500,0.000,122.500,1.500,248.000
block-2-5-conv1,7137.817,14911.807,122.500,153.125,25.000,30.625,1.375,552.000
block-2-5-bn1,109.786,211.400,153.125,153.125,0.010,30.635,1.365,64.000
block-2-5-conv2,11572.963,21548.969,153.125,183.750,112.500,62.000,720.000,720.000
block-2-5-bn2,210.112,407.469,183.750,183.750,0.020,62.020,0.000,124.000
block-2-5-conv3,12573.791,27405.262,183.750,245.000,50.000,122.500,53.500,360.000
block-2-5-bn3,397.992,823.283,245.000,245.000,0.039,122.539,1.461,248.000
block-2-5-downsample,456.113,28.235,245.000,122.500,0.000,122.500,1.500,124.000
block-2-5-relu,314.349,455.832,122.500,122.500,0.000,122.500,1.500,248.000
block-3-0-conv1,13385.564,28069.639,122.500,183.750,50.000,61.250,0.000,608.000
block-3-0-bn1,210.112,407.469,183.750,183.750,0.020,62.020,0.000,124.000
block-3-0-conv2,32686.496,80098.653,183.750,153.125,450.000,30.625,993.375,452.000
block-3-0-bn2,135.243,181.496,153.125,153.125,0.039,30.664,1.336,64.000
block-3-0-conv3,37872.928,31633.019,153.125,183.750,200.000,61.250,140.750,232.000
block-3-0-bn3,246.197,342.387,183.750,183.750,0.078,62.078,0.000,124.000
block-3-0-downsample,22395.271,42642.969,183.750,61.250,200.000,123.328,140.672,526.000
block-3-0-relu,158.799,232.899,61.250,61.250,0.000,62.000,0.000,124.000
block-3-1-conv1,10323.095,16441.625,61.250,76.562,100.000,15.312,86.688,326.000
block-3-1-bn1,74.476,135.940,76.562,76.562,0.020,16.020,0.000,32.000
block-3-1-conv2,15838.218,26370.019,76.562,91.875,450.000,30.625,1937.375,1936.000
block-3-1-bn2,135.243,181.496,91.875,91.875,0.039,30.664,1.336,64.000
block-3-1-conv3,37872.928,31633.019,91.875,122.500,200.000,61.250,140.750,232.000
block-3-1-bn3,246.197,342.387,122.500,122.500,0.078,62.078,0.000,124.000
block-3-1-downsample,247.550,33.516,122.500,61.250,0.000,62.000,0.000,62.000
block-3-1-relu,158.799,232.899,61.250,61.250,0.000,62.000,0.000,124.000
block-3-2-conv1,10323.095,16441.625,61.250,76.562,100.000,15.312,86.688,326.000
block-3-2-bn1,74.476,135.940,76.562,76.562,0.020,16.020,0.000,32.000
block-3-2-conv2,15838.218,26370.019,76.562,91.875,450.000,30.625,1937.375,1936.000
block-3-2-bn2,135.243,181.496,91.875,91.875,0.039,30.664,1.336,64.000
block-3-2-conv3,37872.928,31633.019,91.875,122.500,200.000,61.250,140.750,232.000
block-3-2-bn3,246.197,342.387,122.500,122.500,0.078,62.078,0.000,124.000
block-3-2-downsample,247.550,33.516,122.500,61.250,0.000,62.000,0.000,62.000
block-3-2-relu,158.799,232.899,61.250,61.250,0.000,62.000,0.000,124.000
avgpool,158.477,105.530,61.250,1.250,0.000,1.250,18.750,62.000
fc,129.402,226.384,1.250,0.125,40.004,0.125,0.000,40.000
