data_size(MB),time(ms)
12,2.237
8,1.446
16,3.079
24,4.545
32,6.129
256,49.300
272,51.757
384,73.040
40,7.611
400,76.426
20,3.799
128,24.347
140,26.690
192,36.562
4,0.751
200,38.084
144,27.491
28,5.340
6,1.095
14,2.707
64,12.209
74,14.200
96,18.306
2,0.405
10,1.814
100,19.246
80,15.246
22,4.184
48,9.338
512,97.832
544,103.395
768,146.241
800,152.388
280,53.122
288,54.837
56,10.736
148,28.349
160,30.506
44,8.387
1024,194.344
1088,206.725
1536,290.162
1600,303.984
560,106.359
576,109.423
112,21.666
296,56.211
320,60.845
88,16.707
2048,387.251
2176,412.668
3072,581.177
3200,606.595
1120,212.842
1152,218.621
224,43.041
592,113.115
640,121.602
176,33.937
