data_size(MB),time(ms)
122,50.247
92,38.008
30,12.572
61,25.107
62,25.403
91,37.689
153,62.686
245,100.479
183,75.399
124,101.698
15,6.330
76,31.613
16,13.290
7,5.484
38,26.906
45,37.702
31,21.803
3,3.101
19,16.252
22,9.062
0,0.358
8,6.103
