data_size(MB),time(ms)
172,69.452
171,70.149
128,52.974
42,17.559
85,35.239
86,35.098
214,87.848
344,279.416
257,105.223
343,140.286
21,17.492
107,87.013
22,9.062
10,8.742
53,43.604
64,26.668
43,30.467
5,4.351
26,11.032
32,22.551
0,0.358
108,44.321
366,297.030
258,180.425
44,18.068
27,22.241
65,45.695
16,13.290
13,10.911
96,78.532
194,79.213
354,145.042
48,39.362
24,20.177
54,44.495
12,8.518
428,175.155
688,558.650
514,210.241
686,280.855
430,175.839
730,593.810
516,360.961
386,157.804
710,576.223
193,157.232
385,157.737
643,262.986
1029,1000000000.000
771,315.172
321,131.384
160,112.348
192,156.397
80,56.185
1,1.290
17,7.075
322,131.708
1093,1000000000.000
774,540.302
81,33.354
40,28.258
290,202.462
578,236.439
1061,1000000000.000
644,449.968
144,117.530
72,50.727
36,29.601
857,349.911
1372,1000000000.000
858,350.622
1458,1000000000.000
515,210.727
429,175.468
1032,1000000000.000
772,315.711
1414,1000000000.000
860,600.523
