size,8layers,16layers,32layers,64layers,128layers,256layers,512layers,1024layers
alpa,1245.68, 2330.36, 4417.7059, 10504.64,0.00,0.00,0.00,0.00
aceso,23.59, 36.78, 200.13, 200.37, 200.33, 203.22, 219.61, 246.05
