size,8layers,16layers,32layers,64layers,128layers,256layers,512layers,1024layers
megatron,201.50, 118.89, 73.34, 34.95, 16.30, 8.56, 4.38, 2.21
alpa,210.61, 109.93, 67.77, 34.25, 0, 0, 0, 0
aceso,227.08, 143.51, 80.76, 41.37, 20.15, 9.64, 4.57, 2.23
