data_size(MB),time(ms)
246,5.132
245,5.114
184,3.898
61,1.348
62,1.376
122,2.585
980,1000000000.000
1041,1000000000.000
306,6.420
492,12.872
1225,1000000000.000
490,10.233
367,7.760
735,1000000000.000
30,0.735
153,3.235
612,1000000000.000
183,3.817
124,3.358
15,0.521
76,2.113
16,0.559
91,1.993
7,0.305
38,1.145
0,0.107
123,3.345
8,0.290
92,1.990
1010,1000000000.000
522,1000000000.000
552,1000000000.000
368,7.706
506,10.514
276,5.759
186,5.000
45,1.035
253,6.722
138,2.917
22,0.583
126,3.422
78,1.693
996,1000000000.000
508,13.292
520,1000000000.000
307,8.122
497,13.045
262,5.452
154,4.167
31,0.938
249,6.654
130,3.527
69,1.928
987,1000000000.000
499,13.082
275,7.306
46,1.052
493,10.237
139,3.868
247,6.556
68,1.937
11,0.424
1960,1000000000.000
2082,1000000000.000
2450,1000000000.000
1470,1000000000.000
1,0.148
2022,1000000000.000
1042,1000000000.000
491,10.206
1102,1000000000.000
738,1000000000.000
1990,1000000000.000
614,1000000000.000
32,0.763
1976,1000000000.000
736,1000000000.000
308,6.630
554,1000000000.000
140,3.783
2940,1000000000.000
3123,1000000000.000
918,1000000000.000
1472,1000000000.000
3675,1000000000.000
2205,1000000000.000
459,9.630
1837,1000000000.000
551,1000000000.000
229,4.789
114,2.419
3032,1000000000.000
1564,1000000000.000
1653,1000000000.000
1103,1000000000.000
1104,1000000000.000
1516,1000000000.000
828,1000000000.000
137,3.726
758,1000000000.000
414,8.575
380,7.893
230,4.801
2986,1000000000.000
1518,1000000000.000
1561,1000000000.000
920,1000000000.000
1492,1000000000.000
781,1000000000.000
748,1000000000.000
390,8.178
373,9.888
206,4.283
2962,1000000000.000
1494,1000000000.000
460,9.521
1515,1000000000.000
1481,1000000000.000
413,11.321
741,1000000000.000
207,4.284
34,0.812
370,7.654
3920,1000000000.000
4165,1000000000.000
4900,1000000000.000
2,0.153
4042,1000000000.000
3982,1000000000.000
1226,1000000000.000
995,1000000000.000
3950,1000000000.000
2021,1000000000.000
1975,1000000000.000
553,1000000000.000
