data_size(MB),time(ms)
30,0.490
20,0.354
40,0.635
60,0.930
80,1.229
320,4.650
360,5.177
480,6.874
100,1.483
400,5.796
50,0.805
160,2.339
190,2.782
240,3.499
10,0.273
200,2.978
70,1.070
15,0.286
35,0.561
105,1.557
120,1.765
5,0.178
25,0.426
55,0.856
7,0.214
27,0.465
62,0.956
2,0.258
22,0.395
57,0.883
37,0.602
47,0.748
17,0.331
640,9.181
720,10.289
960,13.660
800,11.431
380,5.467
140,2.062
210,3.060
110,1.631
125,1.842
45,0.713
115,1.706
75,1.131
95,1.415
1280,18.213
1440,20.397
1920,27.158
1600,22.680
760,10.850
280,4.049
420,6.041
220,3.194
250,3.639
90,1.355
230,3.350
150,2.193
2560,36.149
2880,40.651
3840,54.139
3200,45.179
1520,21.546
560,8.011
840,12.069
440,6.334
500,7.170
180,2.617
460,6.617
300,4.352
