data_size(MB),time(ms)
30,0.564
20,0.402
40,0.716
60,1.037
80,1.348
320,5.101
360,5.701
480,7.573
100,3.001
400,10.831
50,0.879
160,2.653
190,3.076
240,3.830
10,0.253
200,5.543
70,2.123
15,0.331
35,0.643
105,1.746
120,1.964
5,0.171
25,0.497
55,1.672
7,0.202
27,0.520
62,1.077
2,0.126
22,0.443
57,1.754
37,0.686
47,1.447
17,0.373
640,10.059
720,11.297
960,15.035
800,21.576
380,6.015
140,4.125
210,3.373
110,3.249
125,2.053
45,0.811
115,3.388
75,1.267
95,2.809
1280,1000000000.000
1440,1000000000.000
1920,1000000000.000
1600,1000000000.000
760,11.943
280,8.094
420,6.640
220,6.382
250,4.010
90,1.501
230,6.670
150,2.425
2560,1000000000.000
2880,1000000000.000
3840,1000000000.000
3200,1000000000.000
1520,1000000000.000
560,16.134
840,13.176
440,12.666
500,7.878
180,2.902
460,13.243
300,4.770
