data_size(MB),time(ms)
30,0.866
20,0.591
40,1.141
60,1.679
80,2.223
320,8.237
360,9.239
480,12.225
100,2.722
400,10.261
50,1.412
160,4.240
190,5.001
240,6.251
10,0.316
200,5.243
70,1.965
15,0.453
35,1.004
105,2.846
120,3.226
5,0.176
25,0.728
55,1.547
7,0.232
27,0.800
62,1.746
2,0.090
22,0.669
57,1.615
37,1.056
47,1.349
17,0.524
640,16.239
720,18.219
960,24.212
800,20.222
380,9.729
140,3.726
210,5.506
110,2.984
125,3.355
45,1.277
115,3.123
75,2.079
95,2.631
1280,32.188
1440,36.183
1920,48.796
1600,40.137
760,19.192
280,7.236
420,10.743
220,5.747
250,6.459
90,2.491
230,5.991
150,4.006
2560,64.198
2880,73.186
3840,97.483
3200,80.346
1520,38.681
560,14.239
840,21.189
440,11.216
500,12.731
180,4.747
460,11.719
300,7.720
