data_size(MB),time(ms)
12,0.338
8,0.255
16,0.428
24,0.618
32,0.766
256,5.161
272,5.453
384,7.578
40,0.944
400,9.900
20,0.651
128,2.686
140,2.914
192,3.928
4,0.170
200,5.319
144,3.001
28,0.696
6,0.212
14,0.395
64,1.452
74,1.641
96,2.099
2,0.126
10,0.302
100,2.826
80,1.763
22,0.705
3,0.148
11,0.398
41,0.955
48,1.105
1,0.108
9,0.277
50,1.476
23,0.585
15,0.409
19,0.618
7,0.234
512,9.929
544,10.484
768,14.575
800,18.828
280,5.641
288,5.779
56,1.287
148,3.091
160,3.313
44,1.326
82,1.803
18,0.468
46,1.075
30,0.727
38,1.151
1024,19.182
1088,20.185
1536,27.998
1600,36.541
560,10.828
576,11.114
112,2.420
296,5.913
320,6.358
88,2.520
164,3.408
36,0.848
92,2.009
60,1.351
76,2.216
2048,36.274
2176,38.807
3072,53.934
3200,71.865
1120,20.785
1152,21.316
224,5.895
592,11.423
640,12.232
176,3.657
328,6.524
72,1.596
184,3.808
120,2.548
152,4.172
