data_size(MB),time(ms)
12,0.354
8,0.279
16,0.433
24,0.617
32,0.759
256,5.342
272,5.667
384,7.955
40,0.918
400,10.481
20,0.513
128,2.697
140,2.937
192,3.993
4,0.191
200,5.291
144,3.008
28,0.776
6,0.252
14,0.392
64,1.428
74,1.640
96,2.069
2,0.137
10,0.317
100,2.484
80,1.761
22,0.650
3,0.160
11,0.333
41,0.938
48,1.084
1,0.129
9,0.295
50,1.345
23,0.683
15,0.412
19,0.630
7,0.249
512,10.599
544,1000000000.000
768,1000000000.000
800,1000000000.000
280,5.817
288,5.985
56,1.449
148,3.102
160,3.329
44,1.195
82,1.792
18,0.469
46,1.210
30,0.716
38,1.049
1024,1000000000.000
1088,1000000000.000
1536,1000000000.000
1600,1000000000.000
560,1000000000.000
576,1000000000.000
112,2.721
296,6.146
320,6.632
88,2.225
164,3.407
36,0.832
92,2.305
60,1.338
76,1.996
2048,1000000000.000
2176,1000000000.000
3072,1000000000.000
3200,1000000000.000
1120,1000000000.000
1152,1000000000.000
224,5.356
592,1000000000.000
640,1000000000.000
176,4.655
328,6.803
72,1.585
184,4.776
120,2.548
152,3.863
