op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,3624.554,5010.591,9.188,245.000,0.022,246.000,288.000,246.000
bn1,1089.146,1905.378,245.000,245.000,0.002,246.003,0.000,492.000
relu1,629.066,940.409,245.000,245.000,0.000,246.000,0.000,492.000
maxpool,580.938,2449.876,245.000,61.250,0.000,184.500,1.500,308.000
block-0-0-conv1,1087.517,2115.916,61.250,122.500,0.049,62.000,100.000,248.000
block-0-0-bn1,274.494,468.403,122.500,122.500,0.002,62.003,0.000,124.000
block-0-0-conv2,17151.577,12030.036,122.500,1041.250,7.031,980.000,1186.000,980.000
block-0-0-bn2,3998.914,7189.622,1041.250,1041.250,0.039,980.039,0.000,1960.000
block-0-0-conv3,10880.188,47183.080,1041.250,306.250,3.125,245.000,0.000,980.000
block-0-0-bn3,1025.913,1737.477,306.250,306.250,0.010,246.010,0.000,492.000
block-0-0-downsample,5770.147,4603.385,306.250,245.000,0.195,492.010,533.990,246.000
block-0-0-relu,629.121,940.794,245.000,245.000,0.000,246.000,0.000,492.000
block-0-1-conv1,1590.819,6980.237,245.000,306.250,0.195,62.000,100.000,800.000
block-0-1-bn1,274.494,468.403,306.250,306.250,0.002,62.003,0.000,124.000
block-0-1-conv2,17151.577,12030.036,306.250,1225.000,7.031,980.000,1186.000,980.000
block-0-1-bn2,3998.914,7189.622,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-1-conv3,10880.188,47183.080,1225.000,490.000,3.125,245.000,0.000,980.000
block-0-1-bn3,1025.913,1737.477,490.000,490.000,0.010,246.010,0.000,492.000
block-0-1-downsample,940.461,48.226,490.000,245.000,0.000,246.000,0.000,246.000
block-0-1-relu,629.121,940.794,245.000,245.000,0.000,246.000,0.000,492.000
block-0-2-conv1,1590.819,6980.237,245.000,306.250,0.195,62.000,100.000,800.000
block-0-2-bn1,274.494,468.403,306.250,306.250,0.002,62.003,0.000,124.000
block-0-2-conv2,17151.577,12030.036,306.250,1225.000,7.031,980.000,1186.000,980.000
block-0-2-bn2,3998.914,7189.622,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-2-conv3,10880.188,47183.080,1225.000,490.000,3.125,245.000,0.000,980.000
block-0-2-bn3,1025.913,1737.477,490.000,490.000,0.010,246.010,0.000,492.000
block-0-2-downsample,940.461,48.226,490.000,245.000,0.000,246.000,0.000,246.000
block-0-2-relu,629.121,940.794,245.000,245.000,0.000,246.000,0.000,492.000
block-1-0-conv1,2720.233,7708.106,245.000,367.500,0.391,122.500,145.500,862.000
block-1-0-bn1,512.836,851.941,367.500,367.500,0.005,122.505,1.495,248.000
block-1-0-conv2,20030.215,33461.498,367.500,735.000,28.125,490.000,496.000,614.000
block-1-0-bn2,1904.047,3607.676,735.000,735.000,0.078,490.078,0.000,980.000
block-1-0-conv3,8614.217,29189.216,735.000,367.500,12.500,122.500,0.000,994.000
block-1-0-bn3,527.530,914.756,367.500,367.500,0.020,122.520,1.480,248.000
block-1-0-downsample,3645.217,7541.412,367.500,122.500,1.562,245.020,158.980,370.000
block-1-0-relu,316.181,472.323,122.500,122.500,0.000,122.500,1.500,248.000
block-1-1-conv1,1157.430,3518.636,122.500,153.125,0.781,30.625,41.375,404.000
block-1-1-bn1,165.681,226.763,153.125,153.125,0.005,30.630,1.370,64.000
block-1-1-conv2,10837.375,9620.953,153.125,612.500,28.125,490.000,568.000,490.000
block-1-1-bn2,1904.047,3607.676,612.500,612.500,0.078,490.078,0.000,980.000
block-1-1-conv3,8614.217,29189.216,612.500,245.000,12.500,122.500,0.000,994.000
block-1-1-bn3,527.530,914.756,245.000,245.000,0.020,122.520,1.480,248.000
block-1-1-downsample,472.420,47.617,245.000,122.500,0.000,122.500,1.500,124.000
block-1-1-relu,316.181,472.323,122.500,122.500,0.000,122.500,1.500,248.000
block-1-2-conv1,1157.430,3518.636,122.500,153.125,0.781,30.625,41.375,404.000
block-1-2-bn1,165.681,226.763,153.125,153.125,0.005,30.630,1.370,64.000
block-1-2-conv2,10837.375,9620.953,153.125,612.500,28.125,490.000,568.000,490.000
block-1-2-bn2,1904.047,3607.676,612.500,612.500,0.078,490.078,0.000,980.000
block-1-2-conv3,8614.217,29189.216,612.500,245.000,12.500,122.500,0.000,994.000
block-1-2-bn3,527.530,914.756,245.000,245.000,0.020,122.520,1.480,248.000
block-1-2-downsample,472.420,47.617,245.000,122.500,0.000,122.500,1.500,124.000
block-1-2-relu,316.181,472.323,122.500,122.500,0.000,122.500,1.500,248.000
block-1-3-conv1,1157.430,3518.636,122.500,153.125,0.781,30.625,41.375,404.000
block-1-3-bn1,165.681,226.763,153.125,153.125,0.005,30.630,1.370,64.000
block-1-3-conv2,10837.375,9620.953,153.125,612.500,28.125,490.000,568.000,490.000
block-1-3-bn2,1904.047,3607.676,612.500,612.500,0.078,490.078,0.000,980.000
block-1-3-conv3,8614.217,29189.216,612.500,245.000,12.500,122.500,0.000,994.000
block-1-3-bn3,527.530,914.756,245.000,245.000,0.020,122.520,1.480,248.000
block-1-3-downsample,472.420,47.617,245.000,122.500,0.000,122.500,1.500,124.000
block-1-3-relu,316.181,472.323,122.500,122.500,0.000,122.500,1.500,248.000
block-2-0-conv1,1881.709,4439.288,122.500,183.750,1.562,62.000,0.000,394.000
block-2-0-bn1,256.387,457.318,183.750,183.750,0.010,62.010,0.000,124.000
block-2-0-conv2,18540.088,39270.481,183.750,367.500,112.500,246.000,306.000,474.000
block-2-0-bn2,839.659,1195.898,367.500,367.500,0.156,246.156,0.000,492.000
block-2-0-conv3,8201.241,18879.491,367.500,183.750,50.000,61.250,0.000,1046.000
block-2-0-bn3,237.873,302.750,183.750,183.750,0.039,62.039,0.000,124.000
block-2-0-downsample,2300.416,4823.658,183.750,61.250,6.250,124.039,81.961,186.000
block-2-0-relu,159.531,238.098,61.250,61.250,0.000,62.000,0.000,124.000
block-2-1-conv1,1014.099,2369.601,61.250,76.562,3.125,15.312,0.000,190.000
block-2-1-bn1,160.859,85.233,76.562,76.562,0.010,16.010,0.000,32.000
block-2-1-conv2,9286.383,11989.317,76.562,306.250,112.500,245.000,373.000,1300.000
block-2-1-bn2,839.659,1195.898,306.250,306.250,0.156,246.156,0.000,492.000
block-2-1-conv3,8201.241,18879.491,306.250,122.500,50.000,61.250,0.000,1046.000
block-2-1-bn3,237.873,302.750,122.500,122.500,0.039,62.039,0.000,124.000
block-2-1-downsample,238.100,49.567,122.500,61.250,0.000,62.000,0.000,62.000
block-2-1-relu,159.531,238.098,61.250,61.250,0.000,62.000,0.000,124.000
block-2-2-conv1,1014.099,2369.601,61.250,76.562,3.125,15.312,0.000,190.000
block-2-2-bn1,160.859,85.233,76.562,76.562,0.010,16.010,0.000,32.000
block-2-2-conv2,9286.383,11989.317,76.562,306.250,112.500,245.000,373.000,1300.000
block-2-2-bn2,839.659,1195.898,306.250,306.250,0.156,246.156,0.000,492.000
block-2-2-conv3,8201.241,18879.491,306.250,122.500,50.000,61.250,0.000,1046.000
block-2-2-bn3,237.873,302.750,122.500,122.500,0.039,62.039,0.000,124.000
block-2-2-downsample,238.100,49.567,122.500,61.250,0.000,62.000,0.000,62.000
block-2-2-relu,159.531,238.098,61.250,61.250,0.000,62.000,0.000,124.000
block-2-3-conv1,1014.099,2369.601,61.250,76.562,3.125,15.312,0.000,190.000
block-2-3-bn1,160.859,85.233,76.562,76.562,0.010,16.010,0.000,32.000
block-2-3-conv2,9286.383,11989.317,76.562,306.250,112.500,245.000,373.000,1300.000
block-2-3-bn2,839.659,1195.898,306.250,306.250,0.156,246.156,0.000,492.000
block-2-3-conv3,8201.241,18879.491,306.250,122.500,50.000,61.250,0.000,1046.000
block-2-3-bn3,237.873,302.750,122.500,122.500,0.039,62.039,0.000,124.000
block-2-3-downsample,238.100,49.567,122.500,61.250,0.000,62.000,0.000,62.000
block-2-3-relu,159.531,238.098,61.250,61.250,0.000,62.000,0.000,124.000
block-2-4-conv1,1014.099,2369.601,61.250,76.562,3.125,15.312,0.000,190.000
block-2-4-bn1,160.859,85.233,76.562,76.562,0.010,16.010,0.000,32.000
block-2-4-conv2,9286.383,11989.317,76.562,306.250,112.500,245.000,373.000,1300.000
block-2-4-bn2,839.659,1195.898,306.250,306.250,0.156,246.156,0.000,492.000
block-2-4-conv3,8201.241,18879.491,306.250,122.500,50.000,61.250,0.000,1046.000
block-2-4-bn3,237.873,302.750,122.500,122.500,0.039,62.039,0.000,124.000
block-2-4-downsample,238.100,49.567,122.500,61.250,0.000,62.000,0.000,62.000
block-2-4-relu,159.531,238.098,61.250,61.250,0.000,62.000,0.000,124.000
block-2-5-conv1,1014.099,2369.601,61.250,76.562,3.125,15.312,0.000,190.000
block-2-5-bn1,160.859,85.233,76.562,76.562,0.010,16.010,0.000,32.000
block-2-5-conv2,9286.383,11989.317,76.562,306.250,112.500,245.000,373.000,1300.000
block-2-5-bn2,839.659,1195.898,306.250,306.250,0.156,246.156,0.000,492.000
block-2-5-conv3,8201.241,18879.491,306.250,122.500,50.000,61.250,0.000,1046.000
block-2-5-bn3,237.873,302.750,122.500,122.500,0.039,62.039,0.000,124.000
block-2-5-downsample,238.100,49.567,122.500,61.250,0.000,62.000,0.000,62.000
block-2-5-relu,159.531,238.098,61.250,61.250,0.000,62.000,0.000,124.000
block-2-6-conv1,1014.099,2369.601,61.250,76.562,3.125,15.312,0.000,190.000
block-2-6-bn1,160.859,85.233,76.562,76.562,0.010,16.010,0.000,32.000
block-2-6-conv2,9286.383,11989.317,76.562,306.250,112.500,245.000,373.000,1300.000
block-2-6-bn2,839.659,1195.898,306.250,306.250,0.156,246.156,0.000,492.000
block-2-6-conv3,8201.241,18879.491,306.250,122.500,50.000,61.250,0.000,1046.000
block-2-6-bn3,237.873,302.750,122.500,122.500,0.039,62.039,0.000,124.000
block-2-6-downsample,238.100,49.567,122.500,61.250,0.000,62.000,0.000,62.000
block-2-6-relu,159.531,238.098,61.250,61.250,0.000,62.000,0.000,124.000
block-2-7-conv1,1014.099,2369.601,61.250,76.562,3.125,15.312,0.000,190.000
block-2-7-bn1,160.859,85.233,76.562,76.562,0.010,16.010,0.000,32.000
block-2-7-conv2,9286.383,11989.317,76.562,306.250,112.500,245.000,373.000,1300.000
block-2-7-bn2,839.659,1195.898,306.250,306.250,0.156,246.156,0.000,492.000
block-2-7-conv3,8201.241,18879.491,306.250,122.500,50.000,61.250,0.000,1046.000
block-2-7-bn3,237.873,302.750,122.500,122.500,0.039,62.039,0.000,124.000
block-2-7-downsample,238.100,49.567,122.500,61.250,0.000,62.000,0.000,62.000
