data_size(MB),time(ms)
6,0.189
4,0.165
8,0.214
12,0.273
16,0.329
128,1.857
136,1.963
192,2.707
20,0.404
400,7.029
7,0.202
10,0.258
64,1.009
70,1.099
96,1.417
2,0.151
200,3.629
72,1.121
14,0.368
3,0.169
32,0.558
37,0.636
48,0.816
1,0.139
5,0.178
100,1.915
40,0.694
11,0.358
24,0.451
256,3.615
272,3.792
384,5.299
800,13.972
13,0.293
140,2.021
25,0.461
144,2.083
28,0.634
74,1.159
80,1.234
22,0.537
512,7.091
544,7.523
768,10.583
1600,29.282
280,3.873
288,3.994
56,1.157
148,2.150
160,2.307
44,0.995
1024,14.189
1088,15.029
1536,21.361
3200,58.555
560,7.703
576,7.950
112,2.090
296,4.103
320,4.460
88,1.779
