data_size(MB),time(ms)
6,0.411
4,0.297
8,0.518
12,0.726
16,0.932
128,6.860
136,7.309
192,10.288
20,1.781
400,33.028
7,0.451
10,0.612
64,3.487
70,3.820
96,5.191
2,0.177
200,16.567
72,3.937
14,1.263
3,0.234
32,1.755
37,2.066
48,2.626
1,0.127
5,0.344
100,8.427
40,2.215
11,0.715
24,1.370
256,13.706
272,14.525
384,20.552
800,65.655
13,0.778
140,7.528
25,1.401
144,7.733
28,2.446
74,4.014
80,4.314
22,1.320
512,27.513
544,29.239
768,41.589
1600,1000000000.000
280,14.945
288,15.437
56,4.797
148,7.891
160,8.557
44,2.510
1024,56.617
1088,1000000000.000
1536,1000000000.000
3200,1000000000.000
560,30.087
576,30.994
112,9.437
296,15.889
320,17.112
88,4.923
