data_size(MB),time(ms)
12,0.530
8,0.394
16,0.696
24,0.965
32,1.271
256,9.427
272,10.011
384,13.975
40,1.567
400,22.358
20,1.235
128,4.843
140,5.257
192,7.123
4,0.217
200,11.337
144,5.414
28,1.704
6,0.295
14,0.888
64,2.470
74,2.836
96,3.699
2,0.129
10,0.436
100,5.828
80,3.059
22,0.932
3,0.170
11,0.498
41,1.655
48,1.867
1,0.088
9,0.406
50,2.985
23,1.413
15,0.626
19,0.815
7,0.321
512,18.473
544,19.645
768,27.597
800,44.458
280,10.269
288,10.561
56,3.381
148,5.561
160,5.992
44,1.799
82,3.132
18,0.738
46,2.746
30,1.191
38,1.565
1024,36.556
1088,38.982
1536,54.695
1600,88.439
560,20.344
576,20.733
112,6.539
296,10.861
320,11.686
88,3.503
164,6.138
36,1.417
92,5.381
60,2.330
76,3.048
2048,72.501
2176,1000000000.000
3072,1000000000.000
3200,1000000000.000
1120,40.010
1152,41.168
224,12.635
592,21.335
640,23.021
176,10.010
328,11.954
72,2.762
184,10.483
120,4.535
152,5.881
