op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,14118.173,10535.380,36.750,980.000,0.022,980.000,1116.000,980.000
bn1,4515.426,7724.634,980.000,980.000,0.002,980.003,0.000,1960.000
relu1,2506.810,3747.820,980.000,980.000,0.000,980.000,0.000,1960.000
maxpool,2310.897,9779.210,980.000,245.000,0.000,736.000,0.000,1226.000
block-0-0-conv1,3908.778,6624.550,245.000,490.000,0.049,246.000,288.000,984.000
block-0-0-bn1,1067.678,1866.395,490.000,490.000,0.002,246.003,0.000,492.000
block-0-0-conv2,70291.312,48156.238,490.000,4165.000,7.031,3920.000,4790.000,5602.000
block-0-0-bn2,16625.440,29611.509,4165.000,4165.000,0.039,3920.039,0.000,7840.000
block-0-0-conv3,41539.648,181238.074,4165.000,1225.000,3.125,980.000,0.000,3920.000
block-0-0-bn3,4227.244,6986.874,1225.000,1225.000,0.010,980.010,0.000,1960.000
block-0-0-downsample,22888.089,17724.341,1225.000,980.000,0.195,1960.010,2095.990,980.000
block-0-0-relu,2520.546,3748.928,980.000,980.000,0.000,980.000,0.000,1960.000
block-0-1-conv1,5578.306,36332.928,980.000,1225.000,0.195,246.000,288.000,3186.000
block-0-1-bn1,1067.678,1866.395,1225.000,1225.000,0.002,246.003,0.000,492.000
block-0-1-conv2,70291.312,48156.238,1225.000,4900.000,7.031,3920.000,4790.000,5602.000
block-0-1-bn2,16625.440,29611.509,4900.000,4900.000,0.039,3920.039,0.000,7840.000
block-0-1-conv3,41539.648,181238.074,4900.000,1960.000,3.125,980.000,0.000,3920.000
block-0-1-bn3,4227.244,6986.874,1960.000,1960.000,0.010,980.010,0.000,1960.000
block-0-1-downsample,3749.018,48.590,1960.000,980.000,0.000,980.000,0.000,980.000
block-0-1-relu,2520.546,3748.928,980.000,980.000,0.000,980.000,0.000,1960.000
block-0-2-conv1,5578.306,36332.928,980.000,1225.000,0.195,246.000,288.000,3186.000
block-0-2-bn1,1067.678,1866.395,1225.000,1225.000,0.002,246.003,0.000,492.000
