data_size(MB),time(ms)
3,0.352
2,0.263
4,0.437
6,0.598
8,0.760
64,5.251
68,5.614
96,7.852
10,0.919
400,54.236
5,0.515
32,2.727
35,5.001
48,3.962
1,0.202
200,27.478
36,3.017
7,0.679
16,1.385
18,1.541
24,2.024
0,0.151
100,14.005
20,2.963
12,1.076
50,7.128
128,10.449
136,11.057
192,15.528
800,1000000000.000
70,5.727
72,5.900
14,2.120
37,3.079
40,3.320
11,1.010
9,0.822
256,20.650
272,21.920
384,30.844
1600,1000000000.000
140,11.380
144,11.661
28,4.123
74,6.066
80,6.551
22,1.920
41,3.414
23,3.385
15,1.303
19,1.681
512,41.210
544,1000000000.000
768,1000000000.000
3200,1000000000.000
280,22.539
288,23.184
56,7.946
148,12.011
160,12.978
44,3.681
82,6.704
46,6.694
30,2.541
38,3.197
