data_size(MB),time(ms)
12,0.319
8,0.242
16,0.298
24,0.399
32,0.539
256,3.736
272,3.977
384,5.534
40,0.635
400,5.796
20,0.354
128,1.887
140,2.062
192,2.801
4,0.156
200,2.978
144,2.149
28,0.483
6,0.189
14,0.281
64,1.008
74,1.145
96,1.482
2,0.258
10,0.273
100,1.483
80,1.229
22,0.395
3,0.133
11,0.302
41,0.645
48,0.743
1,0.096
9,0.254
50,0.805
23,0.385
15,0.286
19,0.355
7,0.214
512,7.347
544,7.795
768,10.956
800,11.431
280,4.049
288,4.171
56,0.882
148,2.179
160,2.339
44,0.696
82,1.235
18,0.317
46,0.722
30,0.490
38,0.612
1024,14.567
1088,15.484
1536,21.778
1600,22.680
560,8.011
576,8.241
112,1.670
296,4.279
320,4.650
88,1.319
164,2.408
36,0.572
92,1.402
60,0.930
76,1.154
2048,28.987
2176,30.794
3072,43.372
3200,45.179
1120,15.933
1152,16.383
224,3.260
592,8.474
640,9.181
176,2.595
328,4.732
72,1.084
184,2.671
120,1.765
152,2.228
