op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,7561.227,9891.788,27.562,514.500,0.126,514.500,1033.500,0.000
bn1,2309.277,3746.767,514.500,514.500,0.002,514.502,1.498,1032.000
relu1,1318.148,1970.303,514.500,514.500,0.000,514.500,1.500,1032.000
maxpool,1215.211,5595.623,514.500,128.625,0.000,386.625,1.375,646.000
block-0-0-conv1,2337.554,3320.925,128.625,257.250,0.191,128.625,261.375,260.000
block-0-0-bn1,540.277,894.352,257.250,257.250,0.002,128.627,1.373,260.000
block-0-0-conv2,8899.925,15756.979,257.250,385.875,3.445,257.250,882.750,882.000
block-0-0-bn2,1083.816,1786.593,385.875,385.875,0.003,258.004,0.000,516.000
block-0-0-conv3,12662.771,16967.310,385.875,643.125,1.531,514.500,1033.500,260.000
block-0-0-bn3,2153.170,3589.242,643.125,643.125,0.007,514.507,1.493,1032.000
block-0-0-downsample,12947.078,14402.200,643.125,514.500,0.766,1029.007,518.993,776.000
block-0-0-relu,1317.680,1970.063,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-1-conv1,5660.676,11203.365,514.500,643.125,0.766,128.625,261.375,1548.000
block-0-1-bn1,540.277,894.352,643.125,643.125,0.002,128.627,1.373,260.000
block-0-1-conv2,8899.925,15756.979,643.125,771.750,3.445,257.250,882.750,882.000
block-0-1-bn2,1083.816,1786.593,771.750,771.750,0.003,258.004,0.000,516.000
block-0-1-conv3,12662.771,16967.310,771.750,1029.000,1.531,514.500,1033.500,260.000
block-0-1-bn3,2153.170,3589.242,1029.000,1029.000,0.007,514.507,1.493,1032.000
block-0-1-downsample,1969.529,47.684,1029.000,514.500,0.000,514.500,1.500,516.000
block-0-1-relu,1317.680,1970.063,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-2-conv1,5660.676,11203.365,514.500,643.125,0.766,128.625,261.375,1548.000
block-0-2-bn1,540.277,894.352,643.125,643.125,0.002,128.627,1.373,260.000
block-0-2-conv2,8899.925,15756.979,643.125,771.750,3.445,257.250,882.750,882.000
block-0-2-bn2,1083.816,1786.593,771.750,771.750,0.003,258.004,0.000,516.000
block-0-2-conv3,12662.771,16967.310,771.750,1029.000,1.531,514.500,1033.500,260.000
block-0-2-bn3,2153.170,3589.242,1029.000,1029.000,0.007,514.507,1.493,1032.000
block-0-2-downsample,1969.529,47.684,1029.000,514.500,0.000,514.500,1.500,516.000
block-0-2-relu,1317.680,1970.063,514.500,514.500,0.000,514.500,1.500,1032.000
block-1-0-conv1,10800.118,29111.925,514.500,771.750,1.531,258.000,258.000,1550.000
block-1-0-bn1,1083.816,1786.593,771.750,771.750,0.003,258.004,0.000,516.000
block-1-0-conv2,19249.535,43313.341,771.750,643.125,13.781,128.625,145.375,258.000
block-1-0-bn2,553.216,910.702,643.125,643.125,0.007,128.632,1.368,260.000
block-1-0-conv3,10846.519,17663.701,643.125,771.750,6.125,258.000,516.000,430.000
block-1-0-bn3,1095.365,1868.565,771.750,771.750,0.014,258.014,0.000,516.000
block-1-0-downsample,12352.595,23808.298,771.750,257.250,6.125,516.014,257.986,774.000
block-1-0-relu,660.276,987.774,257.250,257.250,0.000,258.000,0.000,516.000
block-1-1-conv1,5473.361,10395.796,257.250,321.562,3.062,64.312,0.000,778.000
block-1-1-bn1,284.396,470.860,321.562,321.562,0.003,64.316,1.684,132.000
block-1-1-conv2,7459.121,11633.393,321.562,385.875,13.781,128.625,491.375,490.000
block-1-1-bn2,553.216,910.702,385.875,385.875,0.007,128.632,1.368,260.000
block-1-1-conv3,10846.519,17663.701,385.875,514.500,6.125,258.000,516.000,430.000
block-1-1-bn3,1095.365,1868.565,514.500,514.500,0.014,258.014,0.000,516.000
block-1-1-downsample,986.667,47.169,514.500,257.250,0.000,258.000,0.000,258.000
block-1-1-relu,660.276,987.774,257.250,257.250,0.000,258.000,0.000,516.000
block-1-2-conv1,5473.361,10395.796,257.250,321.562,3.062,64.312,0.000,778.000
block-1-2-bn1,284.396,470.860,321.562,321.562,0.003,64.316,1.684,132.000
block-1-2-conv2,7459.121,11633.393,321.562,385.875,13.781,128.625,491.375,490.000
block-1-2-bn2,553.216,910.702,385.875,385.875,0.007,128.632,1.368,260.000
block-1-2-conv3,10846.519,17663.701,385.875,514.500,6.125,258.000,516.000,430.000
block-1-2-bn3,1095.365,1868.565,514.500,514.500,0.014,258.014,0.000,516.000
block-1-2-downsample,986.667,47.169,514.500,257.250,0.000,258.000,0.000,258.000
block-1-2-relu,660.276,987.774,257.250,257.250,0.000,258.000,0.000,516.000
block-1-3-conv1,5473.361,10395.796,257.250,321.562,3.062,64.312,0.000,778.000
block-1-3-bn1,284.396,470.860,321.562,321.562,0.003,64.316,1.684,132.000
block-1-3-conv2,7459.121,11633.393,321.562,385.875,13.781,128.625,491.375,490.000
