op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,12233.478,6276.804,18.375,490.000,0.090,490.000,738.000,490.000
bn1,2205.521,3816.026,490.000,490.000,0.002,490.003,0.000,980.000
relu1,1254.717,1876.657,490.000,490.000,0.000,490.000,0.000,980.000
maxpool,1156.530,4892.923,490.000,122.500,0.000,368.500,1.500,614.000
block-0-0-conv1,4473.774,5649.086,122.500,245.000,0.195,184.500,63.500,620.000
block-0-0-bn1,608.714,1015.488,245.000,245.000,0.002,122.503,1.497,248.000
block-0-0-conv2,89921.807,80636.139,245.000,2082.500,28.125,2022.000,4724.000,4662.000
block-0-0-bn2,8130.713,14464.822,2082.500,2082.500,0.039,1960.039,0.000,3920.000
block-0-0-conv3,65272.028,140510.483,2082.500,612.500,12.500,1470.000,490.000,4914.000
block-0-0-bn3,2148.564,3466.572,612.500,612.500,0.010,490.010,0.000,980.000
block-0-0-downsample,20220.823,13043.834,612.500,490.000,0.781,1042.010,551.990,554.000
block-0-0-relu,1388.636,1882.420,490.000,490.000,0.000,490.000,0.000,980.000
block-0-1-conv1,7966.102,20450.993,490.000,612.500,0.781,368.500,123.500,2208.000
block-0-1-bn1,608.714,1015.488,612.500,612.500,0.002,122.503,1.497,248.000
block-0-1-conv2,89921.807,80636.139,612.500,2450.000,28.125,2022.000,4724.000,4662.000
block-0-1-bn2,8130.713,14464.822,2450.000,2450.000,0.039,1960.039,0.000,3920.000
block-0-1-conv3,65272.028,140510.483,2450.000,980.000,12.500,1470.000,490.000,4914.000
block-0-1-bn3,2148.564,3466.572,980.000,980.000,0.010,490.010,0.000,980.000
block-0-1-downsample,1875.579,48.596,980.000,490.000,0.000,490.000,0.000,490.000
block-0-1-relu,1388.636,1882.420,490.000,490.000,0.000,490.000,0.000,980.000
block-0-2-conv1,7966.102,20450.993,490.000,612.500,0.781,368.500,123.500,2208.000
block-0-2-bn1,608.714,1015.488,612.500,612.500,0.002,122.503,1.497,248.000
block-0-2-conv2,89921.807,80636.139,612.500,2450.000,28.125,2022.000,4724.000,4662.000
block-0-2-bn2,8130.713,14464.822,2450.000,2450.000,0.039,1960.039,0.000,3920.000
block-0-2-conv3,65272.028,140510.483,2450.000,980.000,12.500,1470.000,490.000,4914.000
block-0-2-bn3,2148.564,3466.572,980.000,980.000,0.010,490.010,0.000,980.000
block-0-2-downsample,1875.579,48.596,980.000,490.000,0.000,490.000,0.000,490.000
block-0-2-relu,1388.636,1882.420,490.000,490.000,0.000,490.000,0.000,980.000
block-1-0-conv1,13208.648,25856.918,490.000,735.000,1.562,491.000,0.000,2456.000
block-1-0-bn1,1171.070,1813.067,735.000,735.000,0.005,246.005,0.000,492.000
block-1-0-conv2,130341.653,257162.306,735.000,1470.000,112.500,1102.500,1.500,1702.000
block-1-0-bn2,3945.479,7484.843,1470.000,1470.000,0.078,980.078,0.000,1960.000
block-1-0-conv3,53054.688,120033.915,1470.000,735.000,50.000,735.000,245.000,2632.000
block-1-0-bn3,1076.369,1795.906,735.000,735.000,0.020,246.020,0.000,492.000
block-1-0-downsample,15538.448,26640.099,735.000,245.000,6.250,738.020,245.980,1228.000
block-1-0-relu,696.083,1004.946,245.000,245.000,0.000,246.000,0.000,492.000
block-1-1-conv1,5546.583,12133.175,245.000,306.250,3.125,183.750,64.250,1112.000
block-1-1-bn1,298.915,508.448,306.250,306.250,0.005,62.005,0.000,124.000
block-1-1-conv2,59854.127,65236.468,306.250,1225.000,112.500,1010.625,2757.375,2724.000
block-1-1-bn2,3945.479,7484.843,1225.000,1225.000,0.078,980.078,0.000,1960.000
block-1-1-conv3,53054.688,120033.915,1225.000,490.000,50.000,735.000,245.000,2632.000
block-1-1-bn3,1076.369,1795.906,490.000,490.000,0.020,246.020,0.000,492.000
block-1-1-downsample,937.778,47.045,490.000,245.000,0.000,246.000,0.000,246.000
block-1-1-relu,696.083,1004.946,245.000,245.000,0.000,246.000,0.000,492.000
block-1-2-conv1,5546.583,12133.175,245.000,306.250,3.125,183.750,64.250,1112.000
block-1-2-bn1,298.915,508.448,306.250,306.250,0.005,62.005,0.000,124.000
block-1-2-conv2,59854.127,65236.468,306.250,1225.000,112.500,1010.625,2757.375,2724.000
block-1-2-bn2,3945.479,7484.843,1225.000,1225.000,0.078,980.078,0.000,1960.000
block-1-2-conv3,53054.688,120033.915,1225.000,490.000,50.000,735.000,245.000,2632.000
block-1-2-bn3,1076.369,1795.906,490.000,490.000,0.020,246.020,0.000,492.000
block-1-2-downsample,937.778,47.045,490.000,245.000,0.000,246.000,0.000,246.000
block-1-2-relu,696.083,1004.946,245.000,245.000,0.000,246.000,0.000,492.000
block-1-3-conv1,5546.583,12133.175,245.000,306.250,3.125,183.750,64.250,1112.000
block-1-3-bn1,298.915,508.448,306.250,306.250,0.005,62.005,0.000,124.000
block-1-3-conv2,59854.127,65236.468,306.250,1225.000,112.500,1010.625,2757.375,2724.000
block-1-3-bn2,3945.479,7484.843,1225.000,1225.000,0.078,980.078,0.000,1960.000
block-1-3-conv3,53054.688,120033.915,1225.000,490.000,50.000,735.000,245.000,2632.000
block-1-3-bn3,1076.369,1795.906,490.000,490.000,0.020,246.020,0.000,492.000
block-1-3-downsample,937.778,47.045,490.000,245.000,0.000,246.000,0.000,246.000
block-1-3-relu,696.083,1004.946,245.000,245.000,0.000,246.000,0.000,492.000
block-2-0-conv1,9751.412,18151.658,245.000,367.500,6.250,245.000,0.000,1316.000
block-2-0-bn1,566.621,978.750,367.500,367.500,0.010,122.510,1.490,248.000
block-2-0-conv2,129188.008,284127.566,367.500,735.000,450.000,552.000,1514.000,0.000
block-2-0-bn2,1576.385,3674.413,735.000,735.000,0.156,490.156,0.000,980.000
block-2-0-conv3,50238.066,114829.851,735.000,367.500,200.000,367.500,80.500,1428.000
block-2-0-bn3,422.988,919.107,367.500,367.500,0.039,122.539,1.461,248.000
block-2-0-downsample,10926.714,21628.541,367.500,122.500,25.000,367.539,128.461,618.000
block-2-0-relu,349.919,505.388,122.500,122.500,0.000,122.500,1.500,248.000
block-2-1-conv1,4699.899,9593.606,122.500,153.125,12.500,91.875,0.000,570.000
