op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,12732.584,7174.180,27.562,514.500,0.063,514.500,775.500,516.000
bn1,2312.949,3791.291,514.500,514.500,0.002,514.502,1.498,1032.000
relu1,1318.053,1970.353,514.500,514.500,0.000,514.500,1.500,1032.000
maxpool,1211.640,5167.056,514.500,128.625,0.000,386.625,1.375,646.000
block-0-0-conv1,3526.250,5981.230,128.625,257.250,0.096,128.625,199.375,520.000
block-0-0-bn1,627.509,1003.218,257.250,257.250,0.002,128.627,1.373,260.000
block-0-0-conv2,11031.094,12843.490,257.250,385.875,1.723,258.000,390.000,844.000
block-0-0-bn2,1249.707,1796.461,385.875,385.875,0.003,258.004,0.000,516.000
block-0-0-conv3,15235.395,24123.479,385.875,643.125,0.766,514.500,775.500,776.000
block-0-0-bn3,2286.063,3680.166,643.125,643.125,0.007,514.507,1.493,1032.000
block-0-0-downsample,17256.148,13930.323,643.125,514.500,0.383,1029.007,1292.993,516.000
block-0-0-relu,1458.589,1976.039,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-1-conv1,5302.811,22549.314,514.500,643.125,0.383,128.625,199.375,1678.000
block-0-1-bn1,627.509,1003.218,643.125,643.125,0.002,128.627,1.373,260.000
block-0-1-conv2,11031.094,12843.490,643.125,771.750,1.723,258.000,390.000,844.000
block-0-1-bn2,1249.707,1796.461,771.750,771.750,0.003,258.004,0.000,516.000
block-0-1-conv3,15235.395,24123.479,771.750,1029.000,0.766,514.500,775.500,776.000
block-0-1-bn3,2286.063,3680.166,1029.000,1029.000,0.007,514.507,1.493,1032.000
block-0-1-downsample,2068.952,49.095,1029.000,514.500,0.000,514.500,1.500,516.000
block-0-1-relu,1458.589,1976.039,514.500,514.500,0.000,514.500,1.500,1032.000
block-0-2-conv1,5302.811,22549.314,514.500,643.125,0.383,128.625,199.375,1678.000
block-0-2-bn1,627.509,1003.218,643.125,643.125,0.002,128.627,1.373,260.000
block-0-2-conv2,11031.094,12843.490,643.125,771.750,1.723,258.000,390.000,844.000
