data_size(MB),time(ms)
344,5.468
343,5.448
258,4.111
85,1.435
86,1.455
171,2.765
257,4.097
172,4.777
428,6.750
688,19.799
514,8.141
686,10.753
42,0.773
214,3.423
21,0.435
107,1.757
22,0.731
128,2.118
10,0.255
53,0.932
64,1.967
0,0.090
430,6.803
730,21.095
516,14.886
108,1.792
32,1.039
27,0.868
194,3.127
386,6.114
710,20.484
193,3.096
96,1.605
44,0.777
48,1.507
24,0.494
182,2.929
366,5.786
698,10.945
91,2.713
45,0.810
26,0.509
16,0.578
23,0.492
857,13.434
1372,1000000000.000
1029,1000000000.000
1,0.106
858,13.426
1458,1000000000.000
515,8.108
687,10.783
429,6.802
1032,1000000000.000
772,12.176
1414,1000000000.000
860,24.800
43,0.767
728,11.502
1394,1000000000.000
365,5.753
774,22.365
1030,1000000000.000
771,12.218
1286,1000000000.000
2060,1000000000.000
1543,1000000000.000
2058,1000000000.000
643,10.169
321,9.303
385,6.104
160,4.710
192,3.078
2,0.127
1288,1000000000.000
2188,1000000000.000
322,9.344
773,12.134
80,1.357
578,16.764
1158,1000000000.000
2124,1000000000.000
1287,1000000000.000
290,8.421
644,10.133
144,4.253
72,1.262
546,15.840
1094,1000000000.000
2092,1000000000.000
1157,1000000000.000
274,7.984
580,16.752
136,4.025
289,4.583
68,2.096
1715,1000000000.000
2744,1000000000.000
3,0.139
1716,1000000000.000
2916,1000000000.000
1544,1000000000.000
2830,1000000000.000
2786,1000000000.000
