data_size(MB),time(ms)
3,0.133
2,0.258
4,0.156
6,0.189
8,0.242
64,1.008
68,1.041
96,1.482
10,0.273
400,5.796
5,0.178
32,0.539
35,0.561
48,0.743
1,0.096
200,2.978
36,0.572
7,0.214
16,0.298
18,0.317
24,0.399
0,0.061
100,1.483
20,0.354
12,0.319
50,0.805
128,1.887
136,2.004
192,2.801
800,11.431
70,1.070
72,1.084
14,0.281
37,0.602
40,0.635
11,0.302
9,0.254
256,3.736
272,3.977
384,5.534
1600,22.680
140,2.062
144,2.149
28,0.483
74,1.145
80,1.229
22,0.395
41,0.645
23,0.385
15,0.286
19,0.355
512,7.347
544,7.795
768,10.956
3200,45.179
280,4.049
288,4.171
56,0.882
148,2.179
160,2.339
44,0.696
82,1.235
46,0.722
30,0.490
38,0.612
