data_size(MB),time(ms)
30,1.658
20,1.781
40,2.215
60,3.260
80,4.314
320,17.112
360,19.230
480,25.843
100,8.427
400,33.028
50,4.289
160,8.557
190,10.597
240,12.858
10,0.612
200,16.567
70,3.820
15,0.876
35,3.089
105,5.630
120,6.463
5,0.344
25,1.401
55,4.673
7,0.451
27,2.414
62,3.390
2,0.177
22,1.320
57,4.900
37,2.066
47,2.695
17,1.044
640,34.492
720,38.808
960,52.106
800,65.655
380,20.339
140,7.528
210,11.195
110,9.191
125,6.722
45,2.468
115,9.647
75,4.067
95,5.299
1280,1000000000.000
1440,1000000000.000
1920,1000000000.000
1600,1000000000.000
760,41.131
280,14.945
420,22.495
220,18.211
250,13.337
90,4.862
230,19.049
150,8.051
2560,1000000000.000
2880,1000000000.000
3840,1000000000.000
3200,1000000000.000
1520,1000000000.000
560,30.087
840,45.385
440,36.132
500,26.818
180,9.598
460,37.755
300,16.022
