data_size(MB),time(ms)
3,0.141
2,0.112
4,0.154
6,0.196
8,0.217
64,1.114
68,1.156
96,1.620
10,0.384
400,10.831
5,0.171
32,0.590
35,0.643
48,0.841
1,0.091
200,5.543
36,0.682
7,0.286
16,0.335
18,0.380
24,0.469
0,0.079
100,2.812
20,0.402
12,0.277
50,1.463
128,2.102
136,2.223
192,3.087
800,21.576
70,1.202
72,1.236
14,0.496
37,0.684
40,0.716
11,0.397
9,0.242
256,4.081
272,4.330
384,6.074
1600,1000000000.000
140,2.291
144,2.349
28,0.924
74,1.273
80,1.348
22,0.730
41,0.745
23,0.745
15,0.331
19,0.385
512,8.071
544,8.565
768,12.057
3200,1000000000.000
280,4.462
288,4.591
56,1.734
148,2.424
160,2.653
44,1.389
82,1.394
46,1.434
30,0.564
38,0.688
