data_size(MB),time(ms)
3,0.201
2,0.199
4,0.219
6,0.237
8,0.255
64,0.793
68,0.851
96,1.133
10,0.272
400,6.201
5,0.227
32,0.466
35,0.692
48,0.625
1,0.155
200,3.211
36,0.500
7,0.241
16,0.296
18,0.316
24,0.393
0,0.162
100,1.655
20,0.440
12,0.297
50,0.906
128,1.493
136,1.564
192,2.149
800,12.085
70,0.854
72,0.896
14,0.344
37,0.518
40,0.545
11,0.323
9,0.270
256,2.803
272,3.039
384,4.136
1600,22.271
140,1.592
144,1.630
28,0.571
74,0.899
80,0.962
22,0.492
41,0.576
23,0.497
15,0.295
19,0.443
512,5.472
544,5.801
768,8.054
3200,47.952
280,3.062
288,3.157
56,0.994
148,1.686
160,1.808
44,0.864
82,0.991
46,0.862
30,0.442
38,0.749
