data_size(MB),time(ms)
6,0.414
4,0.299
8,0.525
192,10.279
196,10.453
1024,56.837
1092,1000000000.000
1536,1000000000.000
64,3.478
68,5.279
256,13.691
260,13.928
1,0.212
5,0.343
48,2.695
53,2.883
85,4.579
96,5.181
16,0.937
21,1.210
144,7.756
149,7.966
325,17.381
384,20.635
69,3.763
60,5.181
100,5.406
512,27.602
548,29.557
768,41.581
32,1.767
36,2.001
128,6.862
132,11.029
24,1.363
29,1.612
45,2.461
13,0.770
72,3.947
77,4.145
165,8.865
37,2.043
30,2.615
52,2.835
276,14.735
20,1.786
12,0.739
17,0.994
25,1.407
9,0.563
41,2.307
14,0.823
28,1.543
140,7.568
11,1.031
15,0.875
2,0.177
7,0.452
18,1.048
23,1.318
392,21.009
2048,1000000000.000
2184,1000000000.000
3072,1000000000.000
136,7.320
520,27.914
10,0.639
106,5.696
170,9.125
42,2.308
3,0.235
288,15.431
298,15.954
650,35.082
138,7.402
120,10.026
200,10.690
1096,1000000000.000
264,21.783
58,3.169
90,4.875
26,1.448
154,8.250
330,17.638
74,4.030
104,5.594
552,29.767
40,3.458
34,1.872
50,2.723
82,4.462
56,3.058
280,14.996
22,1.946
46,2.527
784,42.534
4096,1000000000.000
4368,1000000000.000
6144,1000000000.000
272,14.551
1040,1000000000.000
212,11.370
340,18.212
84,6.425
576,31.070
596,32.121
1300,1000000000.000
240,19.958
400,21.436
2192,1000000000.000
528,43.422
116,6.238
180,9.606
308,16.500
660,35.579
148,7.955
208,11.121
1104,1000000000.000
80,6.804
164,8.790
112,6.036
560,30.202
44,3.777
92,4.970
