data_size(MB),time(ms)
6,0.198
4,0.152
8,0.212
48,0.838
52,0.901
256,4.063
276,4.411
384,6.044
16,0.336
20,0.407
64,1.090
68,2.083
1,0.100
5,0.176
12,0.310
17,0.369
25,0.496
24,0.459
9,0.236
36,0.652
41,0.744
85,1.450
96,1.584
21,0.713
60,1.851
28,0.524
128,2.128
140,2.299
192,3.086
32,0.588
11,0.258
15,0.322
2,0.107
7,0.196
18,0.376
23,0.446
45,0.810
13,0.496
30,0.956
72,1.214
3,0.131
10,0.253
14,0.312
38,0.693
0,0.078
104,1.726
512,8.021
552,8.743
768,12.000
40,0.734
136,4.007
34,0.633
50,0.883
82,1.373
170,2.753
42,1.305
120,3.558
56,0.966
280,4.455
22,0.441
46,0.814
90,1.515
26,0.859
144,2.360
76,1.303
19,0.395
208,3.348
1024,15.987
1104,1000000000.000
1536,1000000000.000
80,1.342
272,7.913
100,1.659
164,2.653
340,5.401
84,2.532
240,6.615
112,1.841
560,8.785
44,0.796
92,1.528
180,2.906
288,4.599
152,2.559
416,6.581
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
160,2.591
544,15.682
200,3.244
328,5.183
680,10.726
168,4.915
478,12.991
224,3.588
1120,1000000000.000
88,1.469
184,2.953
360,5.710
576,9.070
304,4.832
