op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,8552.399,5044.243,18.375,343.000,0.063,344.000,516.000,344.000
bn1,1516.011,2507.995,343.000,343.000,0.002,344.002,0.000,688.000
relu1,879.376,1315.340,343.000,343.000,0.000,344.000,0.000,688.000
maxpool,811.248,3448.566,343.000,85.750,0.000,258.000,0.000,430.000
block-0-0-conv1,2355.917,4097.618,85.750,171.500,0.096,86.000,132.000,344.000
block-0-0-bn1,417.887,642.979,171.500,171.500,0.002,86.002,0.000,172.000
block-0-0-conv2,7389.735,8559.967,171.500,257.250,1.723,172.000,258.000,566.000
block-0-0-bn2,825.976,1197.395,257.250,257.250,0.003,172.004,0.000,344.000
block-0-0-conv3,10239.122,12280.554,257.250,428.750,0.766,344.000,516.000,518.000
block-0-0-bn3,1605.567,2550.979,428.750,428.750,0.007,344.007,0.000,688.000
block-0-0-downsample,11566.273,9344.432,428.750,343.000,0.383,688.007,859.993,344.000
block-0-0-relu,970.607,1314.853,343.000,343.000,0.000,344.000,0.000,688.000
block-0-1-conv1,3570.143,15790.523,343.000,428.750,0.383,86.000,132.000,1118.000
block-0-1-bn1,417.887,642.979,428.750,428.750,0.002,86.002,0.000,172.000
block-0-1-conv2,7389.735,8559.967,428.750,514.500,1.723,172.000,258.000,566.000
block-0-1-bn2,825.976,1197.395,514.500,514.500,0.003,172.004,0.000,344.000
block-0-1-conv3,10239.122,12280.554,514.500,686.000,0.766,344.000,516.000,518.000
block-0-1-bn3,1605.567,2550.979,686.000,686.000,0.007,344.007,0.000,688.000
block-0-1-downsample,1405.047,46.129,686.000,343.000,0.000,344.000,0.000,344.000
block-0-1-relu,970.607,1314.853,343.000,343.000,0.000,344.000,0.000,688.000
block-0-2-conv1,3570.143,15790.523,343.000,428.750,0.383,86.000,132.000,1118.000
block-0-2-bn1,417.887,642.979,428.750,428.750,0.002,86.002,0.000,172.000
block-0-2-conv2,7389.735,8559.967,428.750,514.500,1.723,172.000,258.000,566.000
block-0-2-bn2,825.976,1197.395,514.500,514.500,0.003,172.004,0.000,344.000
block-0-2-conv3,10239.122,12280.554,514.500,686.000,0.766,344.000,516.000,518.000
block-0-2-bn3,1605.567,2550.979,686.000,686.000,0.007,344.007,0.000,688.000
block-0-2-downsample,1405.047,46.129,686.000,343.000,0.000,344.000,0.000,344.000
block-0-2-relu,970.607,1314.853,343.000,343.000,0.000,344.000,0.000,688.000
block-1-0-conv1,6827.828,17886.665,343.000,514.500,0.766,172.000,258.000,1204.000
block-1-0-bn1,825.976,1197.395,514.500,514.500,0.003,172.004,0.000,344.000
block-1-0-conv2,8700.889,19330.704,514.500,428.750,6.891,86.000,88.000,258.000
block-1-0-bn2,402.955,679.996,428.750,428.750,0.007,86.007,0.000,172.000
block-1-0-conv3,6621.495,8946.762,428.750,514.500,3.062,172.000,258.000,360.000
block-1-0-bn3,783.020,1334.330,514.500,514.500,0.014,172.014,0.000,344.000
block-1-0-downsample,7983.186,18632.617,514.500,171.500,3.062,344.014,343.986,516.000
block-1-0-relu,487.871,704.558,171.500,171.500,0.000,172.000,0.000,344.000
block-1-1-conv1,2890.569,8877.728,171.500,214.375,1.531,42.875,0.000,518.000
block-1-1-bn1,212.811,347.971,214.375,214.375,0.003,42.879,1.121,88.000
block-1-1-conv2,4077.144,5692.018,214.375,257.250,6.891,85.750,180.250,222.000
block-1-1-bn2,402.955,679.996,257.250,257.250,0.007,86.007,0.000,172.000
block-1-1-conv3,6621.495,8946.762,257.250,343.000,3.062,172.000,258.000,360.000
block-1-1-bn3,783.020,1334.330,343.000,343.000,0.014,172.014,0.000,344.000
block-1-1-downsample,676.717,49.446,343.000,171.500,0.000,172.000,0.000,172.000
block-1-1-relu,487.871,704.558,171.500,171.500,0.000,172.000,0.000,344.000
block-1-2-conv1,2890.569,8877.728,171.500,214.375,1.531,42.875,0.000,518.000
block-1-2-bn1,212.811,347.971,214.375,214.375,0.003,42.879,1.121,88.000
block-1-2-conv2,4077.144,5692.018,214.375,257.250,6.891,85.750,180.250,222.000
