data_size(MB),time(ms)
16,0.428
10,0.302
20,0.651
30,0.727
40,0.944
256,5.161
276,5.532
384,7.578
15,0.409
50,1.476
400,9.900
25,0.616
128,2.686
143,3.002
192,3.928
5,0.189
200,5.319
148,3.091
35,1.090
7,0.234
17,0.458
64,1.452
76,2.216
96,2.099
2,0.126
12,0.338
100,2.826
84,1.858
27,0.861
4,0.170
13,0.363
32,0.766
43,1.001
48,1.105
1,0.108
11,0.398
52,1.184
28,0.696
18,0.468
23,0.585
8,0.255
60,1.351
80,1.763
512,9.929
552,10.724
768,14.575
800,18.828
286,5.732
296,5.913
70,1.555
153,3.203
168,3.484
55,1.630
86,1.889
22,0.705
104,2.233
57,1.713
37,0.867
47,1.423
120,2.548
160,3.313
1024,19.182
1104,20.538
1536,27.998
1600,36.541
572,11.053
592,11.423
140,2.914
306,6.157
336,6.691
110,3.103
173,3.584
45,1.037
208,4.230
115,3.229
75,1.655
95,2.737
240,4.846
320,6.358
2048,36.274
2208,39.286
3072,53.934
3200,71.865
1144,21.202
1184,21.950
280,5.641
612,11.819
672,12.850
220,5.782
346,6.862
90,1.959
416,8.168
230,6.026
150,3.132
190,5.074
