data_size(MB),time(ms)
490,7.703
368,5.835
122,2.007
245,3.913
367,5.795
246,7.155
612,9.625
980,26.489
735,11.485
492,14.200
61,1.060
306,4.866
62,1.887
30,0.595
153,2.500
183,2.965
123,3.646
15,0.519
76,2.313
16,0.580
91,1.525
1,0.093
0,0.072
184,2.991
308,4.905
1042,1000000000.000
491,7.727
738,21.338
124,2.023
92,1.561
45,0.811
38,1.198
276,4.410
552,8.672
1010,27.356
614,17.790
138,2.257
307,8.923
69,2.108
68,2.099
31,0.991
34,1.082
262,4.175
520,8.188
996,26.949
261,7.578
554,16.034
130,3.830
77,2.327
275,8.038
65,1.992
140,4.131
22,0.446
32,1.044
736,11.530
1225,1000000000.000
1960,1000000000.000
1470,1000000000.000
2,0.122
1226,1000000000.000
2082,1000000000.000
78,1.330
1102,1000000000.000
2022,1000000000.000
551,8.670
137,4.037
1990,1000000000.000
1104,1000000000.000
1837,1000000000.000
2940,1000000000.000
2205,1000000000.000
1472,1000000000.000
918,14.350
459,7.224
229,3.652
46,1.423
3,0.139
920,14.369
1838,1000000000.000
3124,1000000000.000
1103,1000000000.000
1471,1000000000.000
919,14.400
2208,1000000000.000
460,7.246
230,3.676
114,1.875
828,12.940
1654,1000000000.000
3032,1000000000.000
827,12.944
1840,1000000000.000
413,6.491
414,6.526
206,3.293
104,1.717
782,12.250
1562,1000000000.000
2986,1000000000.000
781,12.159
1656,1000000000.000
390,6.137
196,3.138
195,5.727
97,2.906
2450,1000000000.000
3920,1000000000.000
5,0.166
4166,1000000000.000
2206,1000000000.000
4042,1000000000.000
3982,1000000000.000
1041,1000000000.000
