data_size(MB),time(ms)
24,0.451
16,0.329
32,0.558
48,0.816
64,1.009
256,3.615
288,3.994
384,5.299
80,1.234
400,7.029
40,0.694
128,1.857
152,2.941
192,2.707
8,0.214
200,3.629
160,2.307
56,1.157
12,0.273
28,0.634
84,1.277
96,1.417
4,0.165
20,0.404
100,1.915
44,0.995
6,0.189
22,0.537
50,1.036
2,0.151
18,0.355
46,0.962
30,0.526
38,0.847
14,0.368
512,7.091
576,7.950
768,10.583
800,13.972
304,4.230
320,4.460
112,2.090
168,2.405
88,1.779
36,0.617
92,1.747
60,0.948
76,1.557
1024,14.189
1152,15.931
1536,21.361
1600,29.282
608,8.402
640,8.810
224,3.193
336,4.686
176,3.187
72,1.121
184,3.309
120,1.728
2048,28.722
2304,32.459
3072,43.317
3200,58.555
1216,16.876
1280,17.773
448,8.344
672,9.234
352,4.939
144,2.083
368,5.152
240,3.392
