data_size(MB),time(ms)
16,0.298
10,0.273
20,0.354
30,0.490
40,0.635
256,3.736
276,3.998
384,5.534
15,0.286
50,0.805
400,5.796
25,0.426
128,1.887
143,2.099
192,2.801
5,0.178
200,2.978
148,2.179
35,0.561
7,0.214
17,0.331
64,1.008
76,1.154
96,1.482
2,0.258
12,0.319
100,1.483
84,1.268
27,0.465
4,0.156
13,0.339
32,0.539
43,0.716
48,0.743
1,0.096
11,0.302
52,0.804
28,0.483
18,0.317
23,0.385
8,0.242
60,0.930
80,1.229
512,7.347
552,7.890
768,10.956
800,11.431
286,4.127
296,4.279
70,1.070
153,2.248
168,2.473
55,0.856
86,1.328
22,0.395
104,1.554
57,0.883
37,0.602
47,0.748
120,1.765
160,2.339
1024,14.567
1104,15.694
1536,21.778
1600,22.680
572,8.180
592,8.474
140,2.062
306,4.432
336,4.899
110,1.631
173,2.544
45,0.713
208,3.085
115,1.706
75,1.131
95,1.415
240,3.499
320,4.650
2048,28.987
2208,31.226
3072,43.372
3200,45.179
1144,16.276
1184,16.840
280,4.049
612,8.815
672,9.602
220,3.194
346,4.977
90,1.355
416,5.989
230,3.350
150,2.193
190,2.782
