data_size(MB),time(ms)
6,0.198
4,0.152
8,0.212
12,0.310
16,0.336
128,2.128
136,2.238
192,3.086
20,0.452
1,0.100
5,0.176
3,0.131
14,0.312
9,0.236
32,0.588
41,0.744
48,0.838
60,1.851
7,0.196
10,0.253
64,1.090
70,1.191
96,1.584
2,0.107
0,0.078
23,0.446
24,0.459
30,0.956
37,0.685
256,4.063
272,4.309
384,6.044
40,0.733
11,0.398
28,0.524
18,0.376
82,1.373
120,3.558
13,0.307
140,2.299
19,0.395
46,0.814
74,1.263
512,8.021
544,8.596
768,12.000
80,1.352
22,0.727
56,0.966
36,0.652
164,2.653
240,6.615
280,4.455
26,0.502
38,0.693
92,1.528
148,2.392
29,0.555
21,0.433
1024,15.987
1088,1000000000.000
1536,1000000000.000
160,2.591
44,1.389
112,1.841
72,1.214
328,5.183
478,12.991
560,8.785
52,0.901
76,1.303
184,2.953
296,4.703
58,1.001
42,0.753
43,0.761
49,0.867
