op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,745.175,1546.854,0.062,32.000,63.750,48.000,0.000,128.000
enc-1st-layernorm,102.906,385.009,32.000,64.000,0.000,32.125,0.000,256.000
enc-attention-qkv,1573.685,2570.029,64.000,128.000,6.000,96.000,96.000,402.000
enc-attention-score,2119.036,4201.299,128.000,1088.000,0.000,1024.000,1024.000,2144.000
enc-attention-softmax,3709.724,4001.849,1088.000,1088.000,0.000,1024.000,0.000,3072.000
enc-attention-dropout,3859.508,3293.635,1088.000,1088.000,0.000,1536.000,0.000,4096.000
enc-attention-context,2454.445,3428.080,1088.000,64.000,0.000,32.000,32.000,1120.000
enc-attention-dense,433.413,794.206,64.000,64.002,2.000,32.000,0.000,128.000
enc-post-attention-dropout,370.373,193.427,64.002,32.000,0.000,48.000,32.000,208.000
enc-2nd-layernorm,103.579,387.596,32.000,64.000,0.000,32.125,0.000,256.000
enc-MLP-GEMM-1,1723.896,2695.897,64.000,160.008,8.000,128.000,0.000,416.000
enc-MLP-gelu,362.409,686.085,160.008,160.000,0.000,128.000,0.000,592.000
enc-MLP-GEMM-2,1562.139,2890.528,160.000,64.002,8.000,32.000,0.000,192.000
enc-post-MLP-dropout,360.632,193.396,64.002,32.000,0.000,48.000,32.000,208.000
enc-final-layernorm,214.205,1639.345,32.000,32.000,0.000,64.125,0.000,128.000
decoder-embedding,326.412,54.858,32.000,40.000,63.750,44.035,29.965,96.000
dec-1st-layernorm,40.956,113.355,40.000,48.000,0.000,8.031,0.000,168.000
dec-attention-qkv-1,407.574,750.321,48.000,64.000,6.000,24.000,40.000,274.000
dec-attention-score-1,157.274,360.254,64.000,112.000,0.000,64.000,64.000,264.000
dec-attention-softmax-1,141.121,171.899,112.000,112.000,0.000,64.000,0.000,288.000
dec-attention-dropout-1,243.424,209.618,112.000,112.000,0.000,96.000,0.000,352.000
dec-attention-context-1,210.170,288.124,112.000,48.000,0.000,8.000,12.000,176.000
dec-attention-dense-1,122.240,218.357,48.000,48.002,2.000,8.000,12.000,132.000
dec-post-attention-dropout-1,98.640,86.653,48.002,40.000,0.000,12.000,8.000,164.000
dec-2nd-layernorm,41.124,114.759,40.000,48.000,0.000,8.031,0.000,168.000
dec-attention-qkv-2,1172.992,2105.738,48.000,112.000,6.000,72.000,76.000,432.000
dec-attention-score-2,555.068,1334.337,112.000,328.000,0.000,256.000,256.000,768.000
dec-attention-softmax-2,884.581,1005.690,328.000,328.000,0.000,256.000,0.000,864.000
dec-attention-dropout-2,963.082,827.003,328.000,328.000,0.000,384.000,0.000,1120.000
dec-attention-context-2,727.383,985.659,328.000,48.000,0.000,8.000,12.000,400.000
dec-attention-dense-2,125.449,218.207,48.000,48.002,2.000,8.000,12.000,132.000
dec-post-attention-dropout-2,99.702,85.057,48.002,40.000,0.000,12.000,8.000,164.000
dec-3rd-layernorm,37.969,114.506,40.000,48.000,0.000,8.031,0.000,168.000
dec-MLP-GEMM-1,431.579,785.174,48.000,72.008,8.000,32.000,0.000,212.000
dec-MLP-gelu,93.422,194.410,72.008,72.000,0.000,32.000,0.000,304.000
dec-MLP-GEMM-2,434.947,809.356,72.000,48.002,8.000,8.000,0.000,148.000
dec-post-MLP-dropout,99.280,83.878,48.002,40.000,0.000,12.000,8.000,164.000
dec-final-layernorm,63.719,1662.279,40.000,40.000,0.000,16.031,3.969,132.000
t5-post-process,8964.651,7487.910,8.000,0.000,59.750,478.051,239.949,0.000
