data_size(MB),time(ms)
246,3.867
245,3.876
184,2.943
61,1.031
62,1.031
122,1.954
980,15.189
1041,16.279
306,4.807
492,15.176
1225,19.310
490,7.656
367,5.755
735,11.432
30,0.546
153,2.448
612,9.576
183,2.894
124,3.994
15,0.577
76,2.539
16,0.697
91,1.468
7,0.375
38,1.315
0,0.073
123,3.887
8,0.422
92,1.521
1010,15.663
522,16.048
552,8.603
368,5.791
506,7.879
276,4.371
186,5.827
45,1.543
253,7.947
138,2.206
22,0.424
126,4.029
78,1.277
996,15.447
508,15.667
520,8.139
307,9.521
497,15.436
262,4.128
154,4.847
31,1.070
249,7.826
130,4.136
69,2.287
987,30.489
499,15.451
275,8.538
46,0.789
493,7.711
139,4.368
247,7.674
68,2.286
11,0.446
1960,30.290
2082,1000000000.000
2450,1000000000.000
1470,22.987
1,0.091
2022,31.296
1042,31.887
491,7.683
1102,17.428
738,22.772
1990,30.805
614,18.958
32,0.548
1976,30.551
736,11.446
308,4.861
554,17.114
140,4.520
2940,1000000000.000
3123,1000000000.000
918,14.271
1472,45.092
3675,1000000000.000
2205,1000000000.000
459,7.167
1837,28.682
551,8.582
229,7.140
114,1.831
3032,1000000000.000
1564,47.902
1653,25.595
1103,17.279
1104,34.054
1516,23.452
828,12.857
137,4.375
758,11.793
414,6.477
380,5.925
230,3.629
2986,1000000000.000
1518,46.420
1561,24.167
920,28.389
1492,23.144
781,23.928
748,11.602
390,6.145
373,11.623
206,3.268
2962,1000000000.000
1494,45.958
460,7.172
1515,46.249
1481,45.620
413,12.819
741,22.917
207,3.302
34,0.600
370,11.460
3920,1000000000.000
4165,1000000000.000
4900,1000000000.000
2,0.135
4042,1000000000.000
3982,1000000000.000
1226,37.731
995,30.656
3950,1000000000.000
2021,31.295
1975,60.787
553,17.074
