op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,26902.553,33619.126,36.750,1960.000,0.359,1960.000,3920.000,0.000
bn1,8786.577,14289.414,1960.000,1960.000,0.005,1960.005,0.000,3920.000
relu1,5010.438,7494.859,1960.000,1960.000,0.000,1960.000,0.000,3920.000
maxpool,4608.272,21215.262,1960.000,490.000,0.000,1470.000,0.000,2450.000
block-0-0-conv1,14779.593,25022.645,490.000,980.000,1.562,490.000,980.000,982.000
block-0-0-bn1,2075.562,3439.889,980.000,980.000,0.005,490.005,0.000,980.000
block-0-0-conv2,70368.274,120168.488,980.000,1470.000,28.125,980.000,4420.000,4420.000
block-0-0-bn2,4234.860,6952.021,1470.000,1470.000,0.010,980.010,0.000,1960.000
block-0-0-conv3,107441.738,195363.517,1470.000,2450.000,12.500,1960.000,4914.000,0.000
block-0-0-bn3,8411.863,13872.851,2450.000,2450.000,0.020,1960.020,0.000,3920.000
block-0-0-downsample,75448.514,118748.116,2450.000,1960.000,6.250,3920.020,1959.980,1960.000
block-0-0-relu,5016.433,7500.405,1960.000,1960.000,0.000,1960.000,0.000,3920.000
block-0-1-conv1,52036.532,102268.969,1960.000,2450.000,6.250,490.000,0.000,5888.000
block-0-1-bn1,2075.562,3439.889,2450.000,2450.000,0.005,490.005,0.000,980.000
block-0-1-conv2,70368.274,120168.488,2450.000,2940.000,28.125,980.000,4420.000,4420.000
block-0-1-bn2,4234.860,6952.021,2940.000,2940.000,0.010,980.010,0.000,1960.000
block-0-1-conv3,107441.738,195363.517,2940.000,3920.000,12.500,1960.000,4914.000,0.000
block-0-1-bn3,8411.863,13872.851,3920.000,3920.000,0.020,1960.020,0.000,3920.000
block-0-1-downsample,7492.539,46.327,3920.000,1960.000,0.000,1960.000,0.000,1960.000
block-0-1-relu,5016.433,7500.405,1960.000,1960.000,0.000,1960.000,0.000,3920.000
block-0-2-conv1,52036.532,102268.969,1960.000,2450.000,6.250,490.000,0.000,5888.000
block-0-2-bn1,2075.562,3439.889,2450.000,2450.000,0.005,490.005,0.000,980.000
block-0-2-conv2,70368.274,120168.488,2450.000,2940.000,28.125,980.000,4420.000,4420.000
block-0-2-bn2,4234.860,6952.021,2940.000,2940.000,0.010,980.010,0.000,1960.000
block-0-2-conv3,107441.738,195363.517,2940.000,3920.000,12.500,1960.000,4914.000,0.000
block-0-2-bn3,8411.863,13872.851,3920.000,3920.000,0.020,1960.020,0.000,3920.000
block-0-2-downsample,7492.539,46.327,3920.000,1960.000,0.000,1960.000,0.000,1960.000
block-0-2-relu,5016.433,7500.405,1960.000,1960.000,0.000,1960.000,0.000,3920.000
block-1-0-conv1,103461.940,202053.331,1960.000,2940.000,12.500,980.000,980.000,5894.000
block-1-0-bn1,4234.860,6952.021,2940.000,2940.000,0.010,980.010,0.000,1960.000
block-1-0-conv2,201544.405,477705.517,2940.000,2450.000,112.500,490.000,490.000,980.000
block-1-0-bn2,2048.715,3582.880,2450.000,2450.000,0.020,490.020,0.000,980.000
block-1-0-conv3,95454.230,196447.494,2450.000,2940.000,50.000,980.000,1960.000,3742.000
block-1-0-bn3,4041.455,7325.448,2940.000,2940.000,0.039,980.039,0.000,1960.000
block-1-0-downsample,107233.410,320988.816,2940.000,980.000,50.000,1960.039,979.961,2940.000
block-1-0-relu,2510.129,3751.730,980.000,980.000,0.000,980.000,0.000,1960.000
block-1-1-conv1,46370.194,102784.766,980.000,1225.000,25.000,245.000,0.000,4566.000
block-1-1-bn1,1050.678,1790.608,1225.000,1225.000,0.010,246.010,0.000,492.000
block-1-1-conv2,67423.998,111841.793,1225.000,1470.000,112.500,490.000,2104.000,2104.000
block-1-1-bn2,2048.715,3582.880,1470.000,1470.000,0.020,490.020,0.000,980.000
block-1-1-conv3,95454.230,196447.494,1470.000,1960.000,50.000,980.000,1960.000,3742.000
block-1-1-bn3,4041.455,7325.448,1960.000,1960.000,0.039,980.039,0.000,1960.000
block-1-1-downsample,3748.324,46.725,1960.000,980.000,0.000,980.000,0.000,980.000
block-1-1-relu,2510.129,3751.730,980.000,980.000,0.000,980.000,0.000,1960.000
block-1-2-conv1,46370.194,102784.766,980.000,1225.000,25.000,245.000,0.000,4566.000
block-1-2-bn1,1050.678,1790.608,1225.000,1225.000,0.010,246.010,0.000,492.000
block-1-2-conv2,67423.998,111841.793,1225.000,1470.000,112.500,490.000,2104.000,2104.000
block-1-2-bn2,2048.715,3582.880,1470.000,1470.000,0.020,490.020,0.000,980.000
block-1-2-conv3,95454.230,196447.494,1470.000,1960.000,50.000,980.000,1960.000,3742.000
block-1-2-bn3,4041.455,7325.448,1960.000,1960.000,0.039,980.039,0.000,1960.000
block-1-2-downsample,3748.324,46.725,1960.000,980.000,0.000,980.000,0.000,980.000
block-1-2-relu,2510.129,3751.730,980.000,980.000,0.000,980.000,0.000,1960.000
block-1-3-conv1,46370.194,102784.766,980.000,1225.000,25.000,245.000,0.000,4566.000
block-1-3-bn1,1050.678,1790.608,1225.000,1225.000,0.010,246.010,0.000,492.000
block-1-3-conv2,67423.998,111841.793,1225.000,1470.000,112.500,490.000,2104.000,2104.000
block-1-3-bn2,2048.715,3582.880,1470.000,1470.000,0.020,490.020,0.000,980.000
block-1-3-conv3,95454.230,196447.494,1470.000,1960.000,50.000,980.000,1960.000,3742.000
block-1-3-bn3,4041.455,7325.448,1960.000,1960.000,0.039,980.039,0.000,1960.000
block-1-3-downsample,3748.324,46.725,1960.000,980.000,0.000,980.000,0.000,980.000
block-1-3-relu,2510.129,3751.730,980.000,980.000,0.000,980.000,0.000,1960.000
block-2-0-conv1,91062.099,201978.590,980.000,1470.000,50.000,490.000,490.000,6192.000
block-2-0-bn1,2048.715,3582.880,1470.000,1470.000,0.020,490.020,0.000,980.000
block-2-0-conv2,199965.580,508410.417,1470.000,1225.000,450.000,246.000,698.000,942.000
