data_size(MB),time(ms)
6,0.179
4,0.139
8,0.225
12,0.247
16,0.308
128,2.031
136,2.166
192,3.042
20,0.827
1,0.124
5,0.177
3,0.138
14,0.305
9,0.244
32,0.552
41,0.731
48,0.820
60,2.023
7,0.214
10,0.243
64,1.040
70,1.156
96,1.534
2,0.093
0,0.070
23,0.424
24,0.429
30,1.057
37,0.665
256,4.034
272,4.282
384,6.010
40,1.418
11,0.442
28,0.490
18,0.363
82,1.340
120,3.890
13,0.301
140,2.219
19,0.365
46,0.790
74,1.220
512,8.003
544,8.500
768,11.963
80,2.640
22,0.841
56,0.919
36,0.615
164,2.603
240,7.605
280,4.409
26,0.485
38,0.668
92,1.469
148,2.350
29,0.544
21,0.423
1024,15.930
1088,16.944
1536,23.880
160,5.070
44,1.564
112,1.810
72,1.161
328,5.155
478,14.706
560,8.753
52,0.858
76,1.223
184,2.915
296,4.656
58,0.980
42,0.728
43,0.729
49,0.851
