data_size(MB),time(ms)
6,0.179
4,0.139
8,0.225
192,3.042
196,3.096
1024,15.930
1092,16.984
1536,23.880
64,1.040
68,1.102
256,4.034
260,4.129
1,0.124
5,0.177
48,0.820
53,0.911
85,1.408
96,1.534
16,0.308
21,0.423
144,2.297
149,2.391
325,5.125
384,6.010
69,1.154
60,2.023
100,1.602
512,8.003
548,8.553
768,11.963
32,0.552
36,0.615
128,2.031
132,4.275
24,0.429
29,0.544
45,0.789
13,0.301
72,1.161
77,1.278
165,2.647
37,1.314
30,1.057
52,0.858
276,4.350
20,0.368
12,0.247
17,0.362
25,0.483
9,0.244
41,0.731
14,0.577
28,0.490
140,2.219
11,0.244
15,0.306
2,0.093
7,0.214
18,0.363
23,0.424
392,6.141
2048,31.823
2184,1000000000.000
3072,1000000000.000
136,2.166
520,8.163
10,0.243
106,1.708
170,2.710
42,0.728
3,0.138
288,4.556
298,4.700
650,10.167
138,2.214
120,3.890
200,3.170
1096,17.037
264,8.337
58,0.980
90,1.464
26,0.485
154,2.459
330,5.186
74,2.419
104,1.685
552,8.628
40,0.672
34,0.606
50,0.869
82,1.340
56,0.919
280,4.409
22,0.423
46,0.790
784,12.224
4096,1000000000.000
4368,1000000000.000
6144,1000000000.000
272,4.282
1040,16.218
212,3.349
340,5.343
84,1.347
576,9.005
596,9.303
1300,20.206
240,7.605
400,6.270
2192,1000000000.000
528,16.483
116,1.841
180,2.856
308,4.831
660,10.282
148,4.764
208,3.295
1104,17.178
80,1.304
164,2.603
112,1.810
560,8.753
44,0.733
92,1.469
