data_size(MB),time(ms)
16,0.307
10,0.242
20,0.369
30,0.576
40,0.673
256,4.022
276,4.332
384,6.010
15,0.304
50,1.677
400,12.518
25,0.484
128,2.035
143,2.280
192,3.025
5,0.175
200,6.356
148,2.342
35,1.190
7,0.213
17,0.364
64,1.042
76,1.284
96,1.536
2,0.133
12,0.300
100,3.291
84,1.372
27,0.957
4,0.295
13,0.306
32,0.551
43,0.733
48,0.814
1,0.090
11,0.244
52,0.872
28,1.074
18,0.365
23,0.822
8,0.235
60,0.979
80,1.289
512,7.989
552,8.608
768,11.941
800,24.575
286,4.511
296,4.651
70,2.293
153,2.468
168,2.666
55,1.799
86,1.409
22,0.426
104,1.684
57,1.903
37,0.670
47,1.564
120,1.932
160,2.529
1024,15.899
1104,17.155
1536,23.806
1600,49.349
572,8.926
592,9.283
140,4.480
306,4.821
336,5.281
110,3.521
173,2.768
45,0.788
208,3.279
115,3.655
75,1.223
95,2.985
240,3.793
320,5.020
2048,31.810
2208,1000000000.000
3072,1000000000.000
3200,1000000000.000
1144,17.785
1184,18.400
280,8.760
612,9.551
672,10.472
220,6.963
346,5.435
90,1.475
416,6.508
230,7.214
150,2.395
190,5.877
