data_size(MB),time(ms)
344,28.309
343,18.310
258,19.635
85,4.629
86,4.801
171,9.168
257,13.760
172,9.208
428,23.012
688,56.516
514,27.562
686,36.950
42,2.383
214,11.450
21,1.895
107,8.959
22,1.303
128,6.935
10,1.009
53,4.584
64,3.626
0,0.104
430,23.032
730,59.897
516,39.289
108,5.798
32,2.665
27,2.393
194,10.374
386,20.654
710,58.223
193,16.052
96,8.134
44,2.413
48,4.181
24,2.164
182,15.121
366,30.106
698,38.992
91,7.656
45,3.926
26,1.497
16,1.514
23,1.363
857,47.528
1372,1000000000.000
1029,1000000000.000
1,0.225
858,47.546
1458,1000000000.000
515,27.651
687,37.140
429,23.054
1032,1000000000.000
772,42.689
1414,1000000000.000
860,65.157
43,3.434
728,40.323
1394,1000000000.000
365,30.101
774,57.779
1030,1000000000.000
771,42.682
1286,1000000000.000
2060,1000000000.000
1543,1000000000.000
2058,1000000000.000
643,34.584
321,17.829
385,20.664
160,12.234
192,16.022
2,0.245
1288,1000000000.000
2188,1000000000.000
322,17.841
773,63.466
80,6.292
578,32.185
1158,1000000000.000
2124,1000000000.000
1287,1000000000.000
290,21.993
644,48.999
144,12.071
72,5.553
546,41.460
1094,1000000000.000
2092,1000000000.000
1157,1000000000.000
274,22.630
580,44.062
136,11.403
289,22.013
68,5.794
1715,1000000000.000
2744,1000000000.000
3,0.264
1716,1000000000.000
2916,1000000000.000
1544,1000000000.000
2830,1000000000.000
2786,1000000000.000
