data_size(MB),time(ms)
6,0.600
4,0.436
8,0.767
96,7.855
100,8.174
512,41.251
548,1000000000.000
768,1000000000.000
32,2.692
36,3.043
128,10.421
132,18.328
1,0.310
5,0.513
24,2.047
29,2.441
45,3.717
48,3.972
13,1.206
72,5.915
77,6.321
165,13.416
192,15.522
37,3.101
60,8.543
52,4.331
256,20.664
276,22.221
384,30.851
16,1.383
20,2.941
64,5.251
68,8.905
12,1.077
17,1.516
25,2.303
9,0.822
41,3.396
85,6.915
21,1.821
30,4.357
28,2.358
140,11.391
11,1.692
15,1.354
2,0.261
7,0.669
18,1.559
23,1.983
14,1.222
3,0.339
10,0.910
200,16.118
1024,1000000000.000
1096,1000000000.000
1536,1000000000.000
264,36.208
58,4.768
90,7.322
26,2.223
144,11.657
154,12.513
330,26.528
74,6.101
120,16.755
104,8.444
552,1000000000.000
40,5.686
136,11.043
34,2.846
50,4.153
82,6.710
170,13.811
42,3.526
56,4.622
280,22.541
22,3.255
46,3.826
400,32.104
2048,1000000000.000
2192,1000000000.000
3072,1000000000.000
528,1000000000.000
116,9.431
180,14.573
288,23.149
308,24.747
660,1000000000.000
148,12.001
240,32.899
208,16.824
1104,1000000000.000
80,11.164
272,21.895
164,13.248
340,27.395
84,10.911
112,9.107
560,1000000000.000
44,6.251
92,7.562
800,1000000000.000
4096,1000000000.000
4384,1000000000.000
6144,1000000000.000
1056,1000000000.000
232,18.676
360,28.899
576,1000000000.000
616,1000000000.000
1320,1000000000.000
296,23.866
478,64.281
416,33.422
2208,1000000000.000
160,22.040
544,1000000000.000
328,26.378
680,1000000000.000
168,21.711
224,18.106
1120,1000000000.000
88,7.202
184,14.864
