op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,6227.323,3154.763,9.188,245.000,0.090,246.000,372.000,246.000
bn1,1086.769,1895.823,245.000,245.000,0.002,246.003,0.000,492.000
relu1,628.966,940.299,245.000,245.000,0.000,246.000,0.000,492.000
maxpool,581.472,2452.160,245.000,61.250,0.000,184.500,1.500,308.000
block-0-0-conv1,1911.629,3295.676,61.250,122.500,0.195,62.000,96.000,248.000
block-0-0-bn1,307.232,487.256,122.500,122.500,0.002,62.003,0.000,124.000
block-0-0-conv2,37808.062,35490.966,122.500,1041.250,28.125,980.000,1844.000,1844.000
block-0-0-bn2,4012.352,7217.761,1041.250,1041.250,0.039,980.039,0.000,1960.000
block-0-0-conv3,29314.030,81227.570,1041.250,306.250,12.500,245.000,0.000,1974.000
block-0-0-bn3,1129.339,1796.488,306.250,306.250,0.010,246.010,0.000,492.000
block-0-0-downsample,8797.812,7806.791,306.250,245.000,0.781,492.010,617.990,246.000
block-0-0-relu,686.386,940.261,245.000,245.000,0.000,246.000,0.000,492.000
block-0-1-conv1,3305.095,11727.763,245.000,306.250,0.781,62.000,96.000,802.000
block-0-1-bn1,307.232,487.256,306.250,306.250,0.002,62.003,0.000,124.000
block-0-1-conv2,37808.062,35490.966,306.250,1225.000,28.125,980.000,1844.000,1844.000
block-0-1-bn2,4012.352,7217.761,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-1-conv3,29314.030,81227.570,1225.000,490.000,12.500,245.000,0.000,1974.000
block-0-1-bn3,1129.339,1796.488,490.000,490.000,0.010,246.010,0.000,492.000
block-0-1-downsample,1005.481,47.371,490.000,245.000,0.000,246.000,0.000,246.000
block-0-1-relu,686.386,940.261,245.000,245.000,0.000,246.000,0.000,492.000
block-0-2-conv1,3305.095,11727.763,245.000,306.250,0.781,62.000,96.000,802.000
block-0-2-bn1,307.232,487.256,306.250,306.250,0.002,62.003,0.000,124.000
block-0-2-conv2,37808.062,35490.966,306.250,1225.000,28.125,980.000,1844.000,1844.000
block-0-2-bn2,4012.352,7217.761,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-2-conv3,29314.030,81227.570,1225.000,490.000,12.500,245.000,0.000,1974.000
block-0-2-bn3,1129.339,1796.488,490.000,490.000,0.010,246.010,0.000,492.000
block-0-2-downsample,1005.481,47.371,490.000,245.000,0.000,246.000,0.000,246.000
block-0-2-relu,686.386,940.261,245.000,245.000,0.000,246.000,0.000,492.000
block-1-0-conv1,6238.977,16385.504,245.000,367.500,1.562,122.500,1.500,802.000
block-1-0-bn1,582.258,920.504,367.500,367.500,0.005,122.505,1.495,248.000
block-1-0-conv2,62871.209,126527.221,367.500,735.000,112.500,490.000,852.000,490.000
block-1-0-bn2,1902.361,3639.038,735.000,735.000,0.078,490.078,0.000,980.000
block-1-0-conv3,25353.698,66819.942,735.000,367.500,50.000,122.500,0.000,1832.000
block-1-0-bn3,526.464,948.269,367.500,367.500,0.020,122.520,1.480,248.000
block-1-0-downsample,6789.901,15203.346,367.500,122.500,6.250,245.020,250.980,370.000
block-1-0-relu,349.728,505.376,122.500,122.500,0.000,122.500,1.500,248.000
block-1-1-conv1,2556.639,7181.230,122.500,153.125,3.125,30.625,0.000,374.000
block-1-1-bn1,166.043,252.070,153.125,153.125,0.005,30.630,1.370,64.000
block-1-1-conv2,27111.408,32207.922,153.125,612.500,112.500,490.000,828.000,1318.000
block-1-1-bn2,1902.361,3639.038,612.500,612.500,0.078,490.078,0.000,980.000
block-1-1-conv3,25353.698,66819.942,612.500,245.000,50.000,122.500,0.000,1832.000
block-1-1-bn3,526.464,948.269,245.000,245.000,0.020,122.520,1.480,248.000
block-1-1-downsample,480.590,47.245,245.000,122.500,0.000,122.500,1.500,124.000
block-1-1-relu,349.728,505.376,122.500,122.500,0.000,122.500,1.500,248.000
block-1-2-conv1,2556.639,7181.230,122.500,153.125,3.125,30.625,0.000,374.000
block-1-2-bn1,166.043,252.070,153.125,153.125,0.005,30.630,1.370,64.000
block-1-2-conv2,27111.408,32207.922,153.125,612.500,112.500,490.000,828.000,1318.000
block-1-2-bn2,1902.361,3639.038,612.500,612.500,0.078,490.078,0.000,980.000
block-1-2-conv3,25353.698,66819.942,612.500,245.000,50.000,122.500,0.000,1832.000
block-1-2-bn3,526.464,948.269,245.000,245.000,0.020,122.520,1.480,248.000
block-1-2-downsample,480.590,47.245,245.000,122.500,0.000,122.500,1.500,124.000
block-1-2-relu,349.728,505.376,122.500,122.500,0.000,122.500,1.500,248.000
block-1-3-conv1,2556.639,7181.230,122.500,153.125,3.125,30.625,0.000,374.000
block-1-3-bn1,166.043,252.070,153.125,153.125,0.005,30.630,1.370,64.000
block-1-3-conv2,27111.408,32207.922,153.125,612.500,112.500,490.000,828.000,1318.000
block-1-3-bn2,1902.361,3639.038,612.500,612.500,0.078,490.078,0.000,980.000
block-1-3-conv3,25353.698,66819.942,612.500,245.000,50.000,122.500,0.000,1832.000
block-1-3-bn3,526.464,948.269,245.000,245.000,0.020,122.520,1.480,248.000
block-1-3-downsample,480.590,47.245,245.000,122.500,0.000,122.500,1.500,124.000
block-1-3-relu,349.728,505.376,122.500,122.500,0.000,122.500,1.500,248.000
block-2-0-conv1,4847.790,9867.378,122.500,183.750,6.250,62.000,0.000,410.000
block-2-0-bn1,276.434,491.626,183.750,183.750,0.010,62.010,0.000,124.000
block-2-0-conv2,58860.867,152113.186,183.750,367.500,450.000,246.000,576.000,902.000
block-2-0-bn2,840.229,1183.411,367.500,367.500,0.156,246.156,0.000,492.000
block-2-0-conv3,28482.095,63025.346,367.500,183.750,200.000,61.250,140.750,3892.000
block-2-0-bn3,242.143,316.865,183.750,183.750,0.039,62.039,0.000,124.000
block-2-0-downsample,5123.675,12414.412,183.750,61.250,25.000,124.039,151.961,186.000
block-2-0-relu,176.334,254.302,61.250,61.250,0.000,62.000,0.000,124.000
block-2-1-conv1,2306.737,5587.889,61.250,76.562,12.500,15.312,0.000,338.000
block-2-1-bn1,160.643,89.079,76.562,76.562,0.010,16.010,0.000,32.000
block-2-1-conv2,30031.717,45011.230,76.562,306.250,450.000,245.000,2085.000,2206.000
block-2-1-bn2,840.229,1183.411,306.250,306.250,0.156,246.156,0.000,492.000
block-2-1-conv3,28482.095,63025.346,306.250,122.500,200.000,61.250,140.750,3892.000
block-2-1-bn3,242.143,316.865,122.500,122.500,0.039,62.039,0.000,124.000
block-2-1-downsample,251.269,48.002,122.500,61.250,0.000,62.000,0.000,62.000
block-2-1-relu,176.334,254.302,61.250,61.250,0.000,62.000,0.000,124.000
block-2-2-conv1,2306.737,5587.889,61.250,76.562,12.500,15.312,0.000,338.000
block-2-2-bn1,160.643,89.079,76.562,76.562,0.010,16.010,0.000,32.000
block-2-2-conv2,30031.717,45011.230,76.562,306.250,450.000,245.000,2085.000,2206.000
block-2-2-bn2,840.229,1183.411,306.250,306.250,0.156,246.156,0.000,492.000
block-2-2-conv3,28482.095,63025.346,306.250,122.500,200.000,61.250,140.750,3892.000
block-2-2-bn3,242.143,316.865,122.500,122.500,0.039,62.039,0.000,124.000
