data_size(MB),time(ms)
172,2.731
171,2.731
128,2.090
42,0.730
85,1.404
86,1.429
214,3.403
344,10.722
257,4.090
343,5.409
21,0.824
107,3.368
22,0.426
10,0.242
53,0.910
64,2.163
43,1.431
5,0.294
26,0.486
32,1.193
0,0.081
108,1.728
366,11.358
258,8.047
44,0.735
27,0.950
65,2.170
16,0.700
13,0.568
96,1.597
194,3.097
354,10.990
48,1.676
24,0.491
54,1.791
12,0.567
91,2.903
182,2.933
349,5.511
45,0.793
23,0.427
49,1.668
8,0.417
11,0.444
428,6.763
688,21.270
514,8.082
686,10.788
430,6.771
730,22.497
516,16.043
386,6.087
710,21.884
193,6.050
698,21.544
385,6.089
643,10.088
1029,31.658
771,12.114
321,10.060
160,5.127
192,6.044
80,2.648
1,0.121
17,0.365
322,10.030
1093,33.725
774,23.861
81,2.653
40,1.429
290,9.064
578,17.890
1061,16.469
644,20.030
144,4.635
72,2.406
36,0.672
274,8.573
546,16.958
1045,32.074
580,18.026
136,4.361
289,9.011
68,2.285
34,1.196
857,13.447
1372,42.157
858,13.442
1458,44.760
515,8.084
429,6.763
1032,31.829
772,12.094
1414,43.449
860,26.565
728,11.403
1394,42.811
