data_size(MB),time(ms)
6,0.204
4,0.148
8,0.260
12,0.371
16,0.482
128,3.430
136,3.632
192,5.043
20,0.591
400,10.261
7,0.232
10,0.316
64,1.787
70,1.965
96,2.626
2,0.090
200,5.243
72,1.991
14,0.428
3,0.119
32,0.921
37,1.056
48,1.357
1,0.066
5,0.176
100,2.722
40,1.141
11,0.346
24,0.701
256,6.644
272,7.046
384,9.840
800,20.222
13,0.399
140,3.726
25,0.728
144,3.833
28,0.814
74,2.047
80,2.223
22,0.669
512,13.035
544,13.836
768,19.439
1600,40.137
280,7.236
288,7.436
56,1.576
148,3.955
160,4.240
44,1.254
1024,25.805
1088,27.395
1536,38.525
3200,80.346
560,14.239
576,14.614
112,3.041
296,7.633
320,8.237
88,2.407
