data_size(MB),time(ms)
6,0.177
4,0.137
8,0.216
12,0.246
16,0.307
128,2.035
136,2.158
192,3.025
20,0.821
400,12.518
7,0.213
10,0.242
64,1.042
70,1.160
96,1.536
2,0.096
200,6.356
72,1.172
14,0.304
3,0.135
32,0.551
37,0.674
48,0.814
1,0.087
5,0.175
100,3.291
40,0.673
11,0.435
24,0.428
256,4.022
272,4.271
384,6.010
800,24.575
13,0.302
140,2.216
25,0.484
144,2.281
28,0.542
74,1.224
80,1.289
22,0.815
512,7.989
544,8.482
768,11.941
1600,49.349
280,4.394
288,4.518
56,0.972
148,2.342
160,2.529
44,1.525
1024,15.899
1088,16.885
1536,23.806
3200,1000000000.000
560,8.736
576,8.977
112,1.859
296,4.651
320,5.020
88,2.860
