data_size(MB),time(ms)
3,0.160
2,0.137
4,0.191
6,0.252
8,0.279
64,1.428
68,1.507
96,2.069
10,0.391
400,10.481
5,0.217
32,0.759
35,0.808
48,1.084
1,0.129
200,5.291
36,0.832
7,0.296
16,0.433
18,0.482
24,0.617
0,0.111
100,2.484
20,0.513
12,0.354
50,1.345
128,2.697
136,2.852
192,3.993
800,1000000000.000
70,1.561
72,1.585
14,0.465
37,0.854
40,0.922
11,0.406
9,0.310
256,5.342
272,5.667
384,7.955
1600,1000000000.000
140,2.937
144,3.008
28,0.824
74,1.640
80,1.761
22,0.659
41,0.938
23,0.688
15,0.412
19,0.489
512,10.599
544,1000000000.000
768,1000000000.000
3200,1000000000.000
280,5.817
288,5.985
56,1.546
148,3.102
160,3.329
44,1.214
82,1.792
46,1.255
30,0.716
38,0.879
